System,infeas_detected,opt_status,name,PMM_iter,SSN_iter,Krylov_iter,fact,PMM_res,SSN_res,solving_time_sec,linesearch_fail
S,1,-2,BGDBG1,24,46,842,39,1e+20,1e+20,0.0155098,0
S,1,-2,BGETAM,29,150,3118,150,1e+20,1e+20,0.0881172,0
S,1,-2,BGINDY,28,478,12153,465,1e+20,1e+20,2.10052,3
S,1,-2,BGPRTR,38,100,595,30,1e+20,1e+20,0.0017555,0
S,1,-2,BOX1,54,100,872,100,1e+20,1e+20,0.013694,0
K,1,-2,CERIA3D,30,66,0,65,1e+20,1e+20,0.225288,0
S,1,-2,CHEMCOM,30,88,2650,77,1e+20,1e+20,0.0348192,0
S,1,-2,CPLEX1,51,1353,4549,149,1e+20,1e+20,16.8194,42
K,0,0,CPLEX2,30,110,0,102,1.11775e-07,4.30865e-09,0.0142667,0
S,1,-2,EX72A,32,52,1347,52,1e+20,1e+20,0.0086865,0
S,1,-2,EX73A,34,55,1405,55,1e+20,1e+20,0.00847033,0
S,1,-2,GALENET,2882,116688,76348,31,1e+20,1e+20,0.468038,1403
S,0,4,GOSH,130,2614,250390,2673,0.000497838,2.143e-08,60.0253,180
K,0,4,GRAN,3332,135510,0,5574,7.59981e-05,0.000627172,60.0133,1078
S,1,-2,GREENBEA,71,2418,76089,2328,1e+20,1e+20,15.6511,36
K,1,-2,ITEST2,7,10,0,10,1e+20,1e+20,0.000112584,0
K,1,-2,ITEST6,6,10,0,10,1e+20,1e+20,0.000116292,0
S,1,-2,KLEIN1,73,513,2092,213,1e+20,1e+20,0.0290881,0
K,1,-2,KLEIN2,73,956,0,242,1e+20,1e+20,0.145814,0
K,1,-2,KLEIN3,68,497,0,306,1e+20,1e+20,0.312731,0
S,1,-2,MONDOU2,18,81,1818,81,1e+20,1e+20,0.0264485,0
S,1,-2,PANG,151,5244,22422,850,1e+20,1e+20,0.713932,57
S,1,-2,PILOT4I,78,1958,27311,1207,1e+20,1e+20,1.6354,12
S,0,4,QUAL,4459,183122,70709,184181,7.75736e-05,0.000789243,60.0114,1059
S,1,-2,REACTOR,59,531,16114,419,1e+20,1e+20,0.278979,0
S,1,-2,REFINERY,45,197,2561,197,1e+20,1e+20,0.106857,0
S,0,4,VOL1,4435,190475,53159,192041,0.000151891,0.000523459,60.0087,1566
S,1,-2,WOODINFE,49,328,1808,328,1e+20,1e+20,0.00984512,0
