System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
S,1,0,0,QGROW7,859.773,2.00888e-05,-4.27979e+07,380,1311,4.11987e-05,3.9962e-05,9.87909
K,1,0,0,QISRAEL,14.2296,5.61375e-07,2.53478e+07,80,1151,0.0603947,0.000731269,3.11745
S,1,0,0,QPCBLEND,0.00123338,0.157268,-0.00907592,79,469,9.87269e-05,1.53499e-05,0.436661
S,0,2,1,QPCBOEI1,407078,0.0353861,1.10968e+07,164,6010,2.84414,0.000496939,22.1233
K,0,2,1,QPCBOEI2,916358,0.112134,7.2556e+06,186,6019,5.97723,0.75838,6.14912
S,0,2,1,QPCSTAIR,986696,0.159032,5.21769e+06,193,6011,1.21824,0.000360266,45.1442
S,1,2,0,QPILOTNO,3318.76,0.00070185,4.73191e+06,243,6019,0.590858,0.00214555,288.956
S,1,0,0,QPTEST,0.000127316,2.91215e-05,4.372,9,138,2.43287e-05,1.41786e-05,0.0081817
S,1,0,0,QRECIPE,2.14956e-06,8.06239e-09,-266.616,58,107,1.16414e-05,1.16439e-05,0.173241
K,1,0,0,QSC205,0.000136878,0.0235429,-0.00567707,94,682,0.000141189,1.3609e-05,1.53559
S,1,0,1,QSCAGR25,206125,0.00102175,2.01532e+08,95,2556,1.82561,0.000141843,12.968
S,1,0,0,QSCAGR7,67739.5,0.00252139,2.67982e+07,75,1725,0.639643,0.000630431,2.23801
S,0,2,1,QSCFXM1,2.60398e+06,0.15424,1.42787e+07,179,6005,24.1089,0.0017639,76.7678
S,0,3,1,QSCFXM2,2.76304e+07,0.994753,145750,5,233,297.205,168.227,13.9939
S,0,3,1,QSCFXM3,3.06307e+07,0.993974,185693,3,196,280.494,14091.3,17.7145
K,0,2,0,QSCORPIO,42.5227,0.0226123,1837.99,281,6032,0.0749452,0.0349849,29.0838
S,0,2,0,QSCRS8,111.587,0.123361,792.973,310,6005,0.0633196,0.0483851,115.968
S,1,0,0,QSCSD1,0.000738702,8.52348e-05,8.66741,50,91,0.000484695,4.791e-05,2.46487
S,1,0,0,QSCSD6,0.0308222,0.000606637,50.7774,65,137,0.000189161,1.01216e-09,6.65665
S,1,0,0,QSCSD8,0.000397006,4.22004e-07,940.763,72,264,0.00167606,1.18669e-08,26.1651
S,0,3,1,QSCTAP1,1124.66,0.794328,291.203,4,166,2.68747,7.13934,4.10008
S,0,3,1,QSCTAP2,13845.2,7.97982,-12110.2,1,147,208.961,7977.93,13.7364
S,0,3,1,QSCTAP3,8325.42,5.78654,-6886.66,2,218,58.8052,4148.7,26.526
S,0,2,1,QSEBA,7.99709e+07,0.981457,1.51093e+06,161,6028,19.4312,0.0020653,231.001
S,0,0,0,QSHARE1B,14666,0.0203673,734744,87,957,0.0737921,9.01782e-07,2.80266
K,0,2,0,QSHARE2B,125.006,0.0106809,11578.7,240,6006,0.00320906,0.0021922,7.09805
S,0,3,1,QSHELL,3.16934e+11,0.20153,1.2557e+12,149,1532,243.185,5.16641e-06,176.11
S,1,2,0,QSHIP04L,629.709,0.000260209,2.41939e+06,262,6018,0.00806004,0.000343942,191.249
S,1,2,0,QSHIP04S,1948.11,0.000803346,2.42305e+06,240,6034,0.0601532,0.0186472,122.766
S,0,2,0,QSHIP08L,80815.3,0.0340126,2.29523e+06,244,6030,0.110761,0.0393799,1008.57
S,1,2,0,QSHIP08S,18166.7,0.00761475,2.36756e+06,266,6008,0.069163,7.00175e-05,370.421
S,0,2,0,QSHIP12L,261638,0.0866673,2.75724e+06,245,6034,0.653939,0.000439937,1605.9
S,0,2,0,QSHIP12S,255610,0.0836158,2.80135e+06,232,6013,0.649003,0.000186749,594.047
S,0,3,1,QSIERRA,1.36309e+08,5.7392,1.60059e+08,2,148,844944,2.16679e+09,12.0386
S,1,2,0,QSTAIR,49093.7,0.00614789,7.93636e+06,211,6009,0.16631,0.000330321,87.7168
S,1,0,0,QSTANDAT,4.7281,0.000737401,6407.11,90,972,0.00948561,0.00288309,36.4874
S,1,0,0,S268,9.25299e-05,161.453,-9.19568e-05,15,36,0.000285555,4.49188e-05,0.0058124
K,1,2,0,STADAT1,79037.9,0.00277065,-2.86059e+07,157,6003,0.222237,0.00219295,118.677
K,0,2,0,STADAT2,8.62069,0.264222,-24.006,164,6000,0.00597412,10.3952,104.104
K,0,2,0,STADAT3,16.9243,0.473016,-18.8552,163,6033,0.0315026,0.00978528,211.855
S,1,0,0,STCQP1,69.922,0.000450692,155074,75,116,0.00118775,1.73431e-07,2294.5
S,1,0,0,STCQP2,2.53783,0.000113665,22324.8,88,115,0.00124704,5.07804e-05,499.353
S,1,0,0,TAME,2.50045e-11,inf,2.50045e-11,3,4,2.33171e-05,7.83641e-12,0.0033566
S,0,0,0,UBH1,24.0849,21.5815,25.2009,192,1486,0.000284527,3.95137e-05,160.292
S,0,0,0,VALUES,0.0853141,0.0610861,-1.31131,32,50,0.000168637,2.59592e-05,0.270673
S,0,2,0,YAO,193.897,0.980743,3.80718,238,6028,0.0146675,0.00179117,58.61
S,1,0,0,ZECEVIC2,0.000113458,2.7505e-05,-4.12489,4,119,5.6729e-05,9.64799e-05,0.0076542
