System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
S,0,0,0,PEROLD,94.6784,0.0100928,-9286.08,195,6695,60199,3527,9.8752e-07,8.85518e-05,7.70368,0
S,1,0,0,PILOT,1.37832,0.00247274,-556.026,121,4062,47231,2718,9.31374e-07,1.55855e-05,54.3337,0
S,0,0,0,PILOT.JA,88.1141,0.0144139,-6025.02,1185,46324,139714,7623,9.60266e-07,1.62738e-05,35.601,0
S,1,0,0,PILOT.WE,2521.68,0.000927052,-2.71758e+06,1037,40937,99109,2851,9.78046e-07,1.20899e-05,13.4123,107
S,0,-2,1,PILOT4,1e+20,3.87426e+16,1e+20,169,5371,52247,4580,1e+20,1e+20,6.36938,33
S,1,0,0,PILOT87,1.08089,0.00358255,302.792,308,11604,86191,6157,5.67956e-07,0.000418884,318.392,0
S,1,0,0,PILOTNOV,1.80262e-08,4.00825e-12,-4497.28,209,7049,78711,3972,7.0014e-07,0.000576613,15.3012,0
S,1,0,0,RECIPE,9.83198e-09,3.68769e-11,-266.616,32,77,413,20,2.44168e-08,7.55263e-08,0.00219404,0
K,1,0,0,SC105,3.17502e-09,6.08217e-11,-52.2021,55,187,0,157,6.02271e-07,8.71096e-07,0.00884692,0
K,1,0,0,SC205,2.94619e-10,5.64383e-12,-52.2021,27390,1089934,0,27790,9.88168e-07,1.91454e-06,14.8346,0
K,1,0,0,SC50A,3.07023e-09,4.75451e-11,-64.5751,41,98,0,74,4.35067e-07,6.25294e-07,0.00578033,0
K,1,0,0,SC50B,9.25269e-11,1.32181e-12,-70,42,113,0,96,7.1855e-08,1.26423e-08,0.0118254,0
S,1,0,0,SCAGR25,0.0700557,4.74844e-09,-1.47534e+07,52,935,3940,302,1.92144e-08,2.24111e-06,0.146206,0
S,1,0,0,SCAGR7,1.99542,8.55892e-07,-2.33139e+06,52,866,1514,104,1.52082e-07,8.55525e-06,0.0233938,0
S,1,0,0,SCFXM1,0.000647343,3.51497e-08,18416.8,82,1644,10997,861,3.04842e-08,0.000270434,0.446404,0
S,1,0,0,SCFXM2,1.95936e-06,5.34465e-11,36660.3,92,2372,16183,965,1.87792e-07,6.42732e-05,1.21856,0
S,0,-2,1,SCFXM3,1e+20,1.82145e+15,1e+20,269,11032,86625,2747,1e+20,1e+20,7.10932,95
K,1,0,0,SCORPION,2.41722e-05,1.28704e-08,1878.12,64,618,0,159,2.36391e-07,0.000116858,0.03407,0
S,1,0,0,SCRS8,0.0031515,3.48502e-06,904.303,50,524,9736,459,8.21615e-08,0.000306577,0.309051,1
S,1,0,0,SCSD1,2.77319e-06,3.19984e-07,8.66667,26,65,2258,65,3.4271e-08,8.97852e-09,0.0209813,0
S,1,0,0,SCSD6,3.08545e-08,6.10981e-10,50.5,40,171,4409,171,3.72603e-07,3.35342e-06,0.0938769,0
S,1,0,0,SCSD8,9.61926e-07,1.0629e-09,905,30,227,6522,227,3.65001e-07,1.83919e-07,0.290816,0
S,0,-2,1,SCTAP1,1e+20,7.0809e+16,1e+20,36,167,4550,165,1e+20,1e+20,0.0512051,0
S,1,0,0,SCTAP2,5.95746e-06,3.45399e-09,1724.81,22,87,3362,65,5.99931e-08,5.07513e-08,0.10577,0
S,1,0,0,SCTAP3,4.74096e-05,3.32932e-08,1424,19,75,3442,71,5.72533e-07,2.09319e-08,0.234605,0
S,1,0,0,SEBA,5.63026e-06,3.58351e-10,15711.6,81,1586,5571,409,4.78545e-07,0.00010736,3.29884,0
S,1,0,0,SHARE1B,0.0859616,1.12237e-06,-76589.2,285,9183,2549,1454,9.93811e-07,8.88551e-05,0.260448,0
K,1,0,0,SHARE2B,0.000230103,5.5349e-07,-415.732,32,148,0,143,1.78327e-07,2.03597e-08,0.008865,0
S,1,0,0,SHELL,0.00503087,4.16178e-12,1.20883e+09,82,2164,10463,299,2.91406e-07,0.00100369,0.39336,0
S,1,0,0,SHIP04L,7.06287e-05,3.93842e-11,1.79332e+06,70,1522,21282,363,1.79477e-08,8.63823e-05,0.504891,17
