name,ssn_solved,ssn_status,pmm_iter,ssn_iter,ssn_obj,pmm_tol_achieved,ssn_time,ssn_peak_ram_mb,qpalm_solved,qpalm_status,qpalm_iter,qpalm_obj,qpalm_tol_achieved,qpalm_time,qpalm_peak_ram_mb,osqp_solved,osqp_status,osqp_iter,osqp_obj,osqp_tol_achieved,osqp_time,osqp_peak_ram_mb
AUG2D,1,0,28,148,1687409.1066636303,6.70770736259705e-07,0.3457296248525381,127.6875,1,1,16,1677451.6548751993,2.8454170770575438e-05,0.07566079311072826,155.3125,,,,,,,
AUG2DC,1,0,29,61,1818365.4791210112,6.063583162241315e-07,0.17236149869859219,126.9375,1,1,16,1808267.7914470825,8.509711865167802e-07,0.08391358330845833,149.96875,,,,,,,
AUG2DCQP,1,0,62,788,6498119.966181932,9.307782307440701e-07,2.821584042161703,149.0625,1,1,47,6487968.499224074,6.415143845561744e-05,0.282390208914876,157.09375,,,,,,,
AUG2DQP,1,0,60,752,6236997.1743306685,9.744285178675004e-07,2.4280896242707968,141.703125,1,1,57,6227067.414828271,7.5845803274576795e-06,0.3172866255044937,154.75,,,,,,,
AUG3D,1,0,7,8,554.0679743369687,3.578953429157584e-07,0.0053449589759111404,100.6875,1,1,10,-782.433172613789,9.466943013958229e-07,0.011468876153230667,102.078125,,,,,,,
AUG3DC,1,0,6,7,771.2624318014314,4.0547270139453164e-07,0.004901042208075523,100.921875,1,1,16,-1165.2379103693238,5.990728066951334e-07,0.015455376356840134,100.734375,,,,,,,
AUG3DCQP,1,0,28,37,993.3602739476955,8.383061845724537e-07,0.04664704203605652,100.9375,1,1,35,-943.1378599380864,5.664030136180054e-07,0.04078804329037666,111.0625,,,,,,,
AUG3DQP,1,0,25,36,675.2363367643925,8.783280283254698e-07,0.05800920911133289,104.546875,1,1,35,-661.2623526416307,2.7401470849125826e-06,0.045371249318122864,110.734375,,,,,,,
BOYD1,0,4,6331,82687,-61725985.51937726,6.562724868756628e-05,1200.1568267066032,211.8125,1,1,156,-61735218.69934834,0.1806306120235271,3.202213082462549,436.015625,,,,,,,
BOYD2,0,4,348,4608,52.67726476170117,0.0006574088962474053,1218.583315582946,468.296875,1,1,5365,21.256245236508413,0.0016568344596799747,76.00823670811951,464.9375,,,,,,,
CONT-050,1,0,26,165,-4.5638499980208795,6.873879290537407e-07,0.34671529196202755,110.484375,1,1,11,-4.56385048122636,7.842794096102335e-08,0.02644229307770729,101.125,,,,,,,
CONT-100,1,0,33,310,-4.644372504384994,9.65252586742191e-07,2.338851375505328,159.515625,1,1,33,-4.644415521097686,2.0250124919268808e-07,0.6600710414350033,148.078125,,,,,,,
CONT-101,1,0,90,428,0.19558497781005302,9.749699406771973e-07,11.69328087568283,166.578125,1,1,123,0.19529107611552288,3.0681724424076485e-06,3.1520048324018717,143.40625,,,,,,,
