agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
1,0,0,QRECIPE,1.18604e-05,4.44851e-08,-266.616,41,83,4.57717e-05,2.36892e-06,0.154005
1,0,0,QSC205,1.04653e-07,1.80001e-05,-0.00581406,29,55,6.48729e-05,3.29928e-09,0.191432
1,2,0,QSCAGR25,92727.7,0.000459856,2.01645e+08,65,502,20.0466,0.176374,3.87091
1,0,0,QSCAGR7,0.808666,3.01e-08,2.68659e+07,80,476,3.23084e-05,0.0389622,0.923346
0,2,0,QSCFXM1,317077,0.0191407,1.65656e+07,23,509,2513.15,86.8996,5.97914
0,2,1,QSCFXM2,1.27972e+06,0.0482977,2.64964e+07,21,522,2876.42,1.75286e+06,12.5297
0,2,1,QSCFXM3,2.45878e+06,0.0867063,2.83576e+07,19,515,2685.9,585648,19.7263
1,0,0,QSCORPIO,0.272625,0.000144995,1880.24,47,166,9.26673e-05,1.93218e-05,1.11992
1,2,0,QSCRS8,5.89911,0.00656433,898.661,38,502,0.00692819,0.00884049,7.92361
1,0,0,QSCSD1,0.0013995,0.000161454,8.66807,30,70,4.58259e-05,2.2501e-09,0.780798
1,0,0,QSCSD6,0.0173674,0.00034194,50.7908,43,122,6.62772e-05,1.17902e-07,2.42016
1,0,0,QSCSD8,0.000971983,1.03319e-06,940.763,35,203,8.0093e-05,1.51879e-07,10.6277
1,0,0,QSCTAP1,0.0694446,4.905e-05,1415.79,41,227,5.24771e-05,7.49168e-06,1.68087
1,0,0,QSCTAP2,0.000866269,4.99283e-07,1735.03,19,103,4.85906e-05,0.000716065,7.14046
1,0,0,QSCTAP3,0.000412577,2.86759e-07,1438.76,19,93,4.22086e-05,0.00450091,10.6173
0,2,0,QSEBA,7.73732e+07,18.8321,4.10859e+06,38,517,1559.73,2933.11,51.1848
0,2,0,QSHARE1B,12423.8,0.0169608,732502,82,505,0.00051209,7.08808e-05,1.67608
0,2,0,QSHARE2B,430.432,0.0381816,11273.3,79,500,0.231724,0.266098,0.722577
0,3,0,QSHELL,1.00316e+12,1.76155,5.69477e+11,100,400,1841.54,1.34313e-05,81.5537
1,2,0,QSHIP04L,3522.43,0.00145766,2.41649e+06,83,510,0.0457941,9.38354e-05,13.5427
1,2,0,QSHIP04S,2129.39,0.000878871,2.42286e+06,77,500,0.0229651,9.41304e-05,8.43744
1,3,0,QSHIP08L,3706.98,0.00156259,2.37233e+06,100,460,0.0387443,1.65486e-05,92.1356
1,2,0,QSHIP08S,1216.88,0.000510327,2.38451e+06,74,509,0.0263275,0.000124161,34.5854
0,2,1,QSHIP12L,123496,0.0426529,2.89538e+06,25,519,44.1572,1.07698e+06,170.218
0,2,0,QSHIP12S,131874,0.0450838,2.92509e+06,30,507,0.875195,0.741853,41.0117
1,2,0,QSIERRA,8.87689,3.73757e-07,2.37504e+07,44,523,0.000155835,0.000852356,13.2662
1,2,0,QSTAIR,37118.6,0.00466999,7.94833e+06,64,511,4180.15,0.913795,8.28184
1,0,0,QSTANDAT,0.0601688,9.38411e-06,6411.78,27,110,3.93568e-05,0.000126731,2.60304
0,0,0,S268,2.15566,1,2.15566,4,10,9.95973e-05,0.0207197,0.0022665
0,2,1,STADAT1,1.14161e+07,0.667191,-1.71107e+07,17,510,1.28754,6.01501e+07,41.7053
0,2,0,STADAT2,22.7761,2.31215,-9.85061,20,507,0.0260119,1793.61,12.1363
0,2,0,STADAT3,26.1363,2.71033,-9.6432,17,510,0.00891027,195.568,24.3113
1,0,0,STCQP1,1.1845,7.63491e-06,155142,35,95,9.293e-05,9.28424e-05,1750.72
1,0,0,STCQP2,0.100699,4.51013e-06,22327.2,40,114,7.94258e-05,4.0876e-05,451.267
1,0,0,TAME,2.49998e-11,1,2.49998e-11,18,9,4.04375e-05,2.73561e-11,0.0047431
0,2,0,UBH1,56.98,0.98079,58.096,66,529,0.00297436,0.00475115,66.7978
0,0,0,VALUES,0.0853119,0.0650586,-1.31131,21,47,2.97856e-05,2.7333e-10,0.243762
0,2,0,YAO,190.197,25.3352,7.50723,46,506,0.0372201,0.0231859,9.14054
1,0,0,ZECEVIC2,2.87033e-05,6.95833e-06,-4.12503,25,7,1.43518e-05,4.55272e-05,0.0040737
