problem,nc,n_display,alpha1,alpha2,ssn_status,ssn_solved,pmm_iter,ssn_iter,pmm_tol_achieved,ssn_time,ssn_obj,ssn_avg_ram_mb,qpalm_status,qpalm_solved,qpalm_iter,qpalm_inner_iter,qpalm_tol_achieved,qpalm_time,qpalm_obj,qpalm_avg_ram_mb,osqp_status,osqp_solved,osqp_iter,osqp_tol_achieved,osqp_time,osqp_obj,osqp_avg_ram_mb
poisson,6,12675,0.01,0.0001,0,1,7,34,9.988486979004505e-07,0.457435208,0.20439773443947207,113.060546875,1,1,11,22,8.873336260244375e-07,0.114421375,0.07937508851771326,86.21875,,,,,,,
poisson,6,12675,0.0001,0.0001,0,1,7,25,4.5060491854719517e-07,0.3494115,0.20439611953338632,112.00260416666667,1,1,11,24,8.873336028292602e-07,0.135046207,0.07937508851771308,83.890625,,,,,,,
poisson,6,12675,1e-06,0.0001,0,1,8,10,1.7283743156266e-07,0.130548542,0.20437476544563304,105.34375,1,1,97,394,2.2662289100860988e-07,1.838333999,0.07937502448134093,87.93702651515152,,,,,,,
poisson,6,12675,0.0,0.0001,0,1,8,10,1.728763514878402e-07,0.12613512500000001,0.2043747283201779,100.1171875,1,1,11,24,1.640412415182568e-06,0.13270404,0.0793750140285221,84.578125,,,,,,,
poisson,7,49923,0.01,0.0001,0,1,20,380,2.91941282023427e-07,29.263751209,0.2119788882734714,286.5984609082397,1,1,16,32,5.080186674858148e-07,1.2580448320000002,0.0869739682160427,180.1243206521739,,,,,,,
poisson,7,49923,0.0001,0.0001,0,1,12,34,4.4539416142349313e-07,2.831954375,0.21197053727368087,284.75330528846155,1,1,21,83,6.331218579529907e-08,2.9320184570000003,0.08697397198455344,189.2128537735849,,,,,,,
poisson,7,49923,1e-06,0.0001,0,1,13,17,6.700856455614478e-07,1.3424569590000002,0.21197327060993637,259.6419270833333,1,1,617,1404,2.8994219812224575e-07,41.406045041,0.08697398763489847,195.95978890728477,,,,,,,
poisson,7,49923,0.0,0.0001,0,1,13,17,6.700822785018876e-07,1.345522416,0.21197318552474936,252.61848958333334,1,1,16,36,5.083864979717424e-07,1.573186082,0.08697430408891951,183.62444196428572,,,,,,,
poisson,8,198147,0.01,0.0001,4,0,34,957,4.0379780573779e-05,610.404469458,0.2158963925401685,670.6128447456015,1,1,40,77,1.972378072604889e-06,15.675523374,0.09082683463879143,636.2180397727273,,,,,,,
poisson,8,198147,0.0001,0.0001,0,1,15,39,8.349943167063238e-07,24.326585459000004,0.2166958879950831,756.3725669099757,1,1,65,376,5.070139471782056e-08,136.823954415,0.09082681731315811,474.18585419375813,,,,,,,
poisson,8,198147,1e-06,0.0001,0,1,21,39,7.371173793925704e-09,20.643635083000003,0.21582736839133276,693.2141071428572,1,1,64,135,9.589337095543554e-07,37.397973083000004,0.09082720842174168,630.6626285601266,,,,,,,
poisson,8,198147,0.0,0.0001,4,0,64,944,0.01318284199840236,618.187467292,0.2158277471731364,738.2821536902935,1,1,40,84,1.9723900986429804e-06,20.284939748000003,0.09082737962102867,639.3800417877907,,,,,,,
poisson,9,789507,0.01,0.0001,4,0,21,137,8.438159961715957e-05,779.6963301669999,0.2186727041192445,1522.0260151561195,1,1,48,101,2.7757377082852637e-07,302.556981083,0.09276659436898355,1562.3957110719875,,,,,,,
poisson,9,789507,0.0001,0.0001,0,1,22,82,2.592738489245086e-07,472.441382125,0.21773886712895546,1472.6228262741047,-5,0,52,149,0.00016701919955037847,601.9799473319999,0.09277177840560147,1577.3226988412714,,,,,,,
poisson,9,789507,1e-06,0.0001,0,1,22,55,2.628832311124454e-07,258.329221375,0.2177302665515175,1525.930870561283,1,1,49,110,2.542086909455692e-07,379.22792845699996,0.0927677758883639,1576.4694114144017,,,,,,,
poisson,9,789507,0.0,0.0001,0,1,22,61,2.6047440847808695e-07,275.199084667,0.21773010739184345,1535.383313068302,1,1,48,108,2.7766802465660507e-07,362.508569874,0.09276660987058498,1559.4218822674418,,,,,,,
