problem,nc,n_display,alpha1,alpha2,ssn_status,ssn_solved,pmm_iter,ssn_iter,pmm_tol_achieved,ssn_time,ssn_obj,ssn_avg_ram_mb,qpalm_status,qpalm_solved,qpalm_iter,qpalm_inner_iter,qpalm_tol_achieved,qpalm_time,qpalm_obj,qpalm_avg_ram_mb,osqp_status,osqp_solved,osqp_iter,osqp_tol_achieved,osqp_time,osqp_obj,osqp_avg_ram_mb
convdiff,6,12675,0.01,1e-06,0,1,1,2,6.863650585426839e-07,0.02555725,12271.84630232352,82.015625,1,1,2,4,9.560739055073847e-08,0.02913429,-1.8795882729606995e-09,84.90625,,,,,,,
convdiff,6,12675,0.0001,1e-06,0,1,1,2,5.368179731562552e-07,0.031975084,12271.84630188659,89.671875,1,1,3,139,8.008821042725745e-08,0.478633207,-0.00017027738239159583,85.0,,,,,,,
convdiff,6,12675,1e-06,1e-06,0,1,1,2,5.488038397035828e-07,0.031848375,12271.846301846703,89.25,1,1,3,140,8.261142457121814e-08,0.469589832,-0.0001857712486510027,84.90625,,,,,,,
convdiff,6,12675,0.0,1e-06,0,1,1,2,5.489249092703086e-07,0.030105292,12271.84630184627,88.0,1,1,3,140,8.255675182408329e-08,0.453397499,-0.00018595051896750224,84.046875,,,,,,,
convdiff,7,49923,0.01,1e-06,0,1,1,2,3.259300581103517e-07,0.155459084,12271.846302268894,170.515625,1,1,3,5,9.616270601249817e-08,0.197000374,-7.198237438380532e-10,174.515625,,,,,,,
convdiff,7,49923,0.0001,1e-06,0,1,1,2,2.5073379491050586e-07,0.17206912500000002,12271.84630236196,191.40625,1,1,3,5,9.614599558667252e-08,0.191271332,-7.929126272874758e-07,172.671875,,,,,,,
convdiff,7,49923,1e-06,1e-06,0,1,1,2,2.507320482991666e-07,0.165583208,12271.846302361013,178.640625,1,1,3,5,9.61417695832466e-08,0.192169582,-1.520927525394261e-06,181.80208333333334,,,,,,,
convdiff,7,49923,0.0,1e-06,0,1,1,2,2.507334745157388e-07,0.169955583,12271.846302361,186.328125,1,1,3,5,9.614192106108105e-08,0.191355499,-1.5310883189152394e-06,173.19270833333334,,,,,,,
convdiff,8,198147,0.01,1e-06,0,1,1,2,1.6609093872372447e-07,1.26003375,12271.846302288383,476.0130208333333,1,1,3,5,9.68167740929221e-08,1.333754457,-6.130761474444056e-10,576.154296875,,,,,,,
convdiff,8,198147,0.0001,1e-06,0,1,1,2,1.6609093872350766e-07,1.2255700409999999,12271.84630228838,571.1711956521739,1,1,3,5,9.681622511566285e-08,1.3215647490000002,-6.130761549105975e-10,585.36328125,,,,,,,
convdiff,8,198147,1e-06,1e-06,0,1,1,2,1.2779626952875342e-07,1.35384075,12271.846302380078,522.8233173076923,1,1,3,5,9.681668112566849e-08,1.315978706,-6.501953667120639e-09,587.5045572916666,,,,,,,
convdiff,8,198147,0.0,1e-06,0,1,1,2,1.2779518275096299e-07,1.322566125,12271.846302380078,614.511875,1,1,3,5,9.681740395892514e-08,1.311887041,-6.807697237296798e-09,578.6087239583334,,,,,,,
convdiff,9,789507,0.01,1e-06,0,1,1,2,9.935490881694679e-08,11.161058083,12271.846302302862,1279.8637440758293,1,1,4,6,9.731482629099695e-08,13.356407831999999,-5.940078708229015e-10,1466.9394851434427,,,,,,,
convdiff,9,789507,0.0001,1e-06,0,1,1,2,9.93549088169468e-08,10.904021583,12271.846302302862,1371.2725273058252,1,1,4,6,9.731415632901804e-08,13.406405207,-5.940078702908186e-10,1492.7172831632654,,,,,,,
convdiff,9,789507,1e-06,1e-06,0,1,1,2,8.799088716124148e-08,11.432702083,12271.846302392294,1323.9679505813954,1,1,4,6,9.731515278966551e-08,13.248112207,-6.106398879073401e-10,1627.9839876033059,,,,,,,
convdiff,9,789507,0.0,1e-06,0,1,1,2,8.799088802333322e-08,11.482155166,12271.846302392294,1257.4801070601852,1,1,4,6,9.73178479066747e-08,13.657219457,-6.18649263662059e-10,1343.1935868473895,,,,,,,
convdiff,10,3151875,0.01,1e-06,0,1,1,2,9.691211950712458e-08,108.572533625,12271.846302331234,824.7765086752786,1,1,5,7,1.0154722608739101e-07,101.088234581,-6.118047281214565e-10,1215.1918159965035,,,,,,,
convdiff,10,3151875,0.0001,1e-06,0,1,1,2,9.691211974397896e-08,108.491820792,12271.846302331234,1050.2278652815014,1,1,5,7,1.0154722824482628e-07,100.071864166,-6.118047464146109e-10,1307.5594615497937,,,,,,,
convdiff,10,3151875,1e-06,1e-06,0,1,1,2,8.611190560681302e-08,108.223050333,12271.846302415128,1098.9305164790997,1,1,5,7,1.0154722794844961e-07,101.56285745599999,-6.118053382806545e-10,1234.2601060364796,,,,,,,
convdiff,10,3151875,0.0,1e-06,0,1,1,2,8.611190534582247e-08,108.932668209,12271.846302415128,1035.7590486814065,1,1,5,7,1.0154722764762037e-07,103.326763916,-6.119018935129368e-10,1402.7549975057013,,,,,,,
