agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
1,0,0,PRIMAL4,2.41986e-07,3.24338e-07,-0.746091,15,32,1.23444e-05,0.0014125,0.34769
0,2,0,PRIMALC1,724.291,0.11767,-6879.54,46,503,1.36296,0.0557041,0.245554
0,2,0,PRIMALC2,3348.78,0.942971,-6900.09,46,508,1.48497,0.017219,0.223283
0,2,0,PRIMALC5,3490.99,8.17119,-3918.23,41,505,1.41597,0.00644712,0.323817
0,2,0,PRIMALC8,4525.04,0.247143,-22834.5,61,520,5.12804,0.00261041,0.573326
0,2,0,Q25FV47,399517,0.0290675,1.33449e+07,19,505,411.132,4331.81,110.937
1,0,0,QADLITTL,0.000531553,1.10667e-09,480319,22,111,1.26624e-05,0.0177517,0.164253
1,0,0,QAFIRO,2.9921e-05,1.8809e-05,-1.59075,21,25,7.05085e-05,0.00109768,0.0120551
1,0,0,QBANDM,0.0453319,2.7722e-06,16352.4,55,195,8.07574e-05,4.437e-08,1.84726
1,0,0,QBEACONF,30.8118,0.000187064,164743,66,405,5.98776e-05,1.0828e-06,2.66073
1,0,0,QBORE3D,24.4472,0.00788568,3124.65,34,146,8.50786e-05,0.000519829,0.849917
1,3,0,QBRANDY,0.00391145,1.37848e-07,28375.1,100,325,0.000109527,8.47907e-05,1.81903
0,2,1,QCAPRI,1.28468e+07,0.192337,5.39465e+07,33,507,70182.1,1.04415,4.05477
1,0,0,QE226,1.51781e-05,7.13749e-08,212.653,33,260,9.92914e-05,0.00821425,2.07254
0,2,0,QETAMACR,6503.19,0.0749557,80257.2,89,514,0.05097,0.410023,12.8544
0,2,0,QFFFFF80,31766.7,0.0363818,841381,22,511,871.674,788.076,13.3447
0,2,1,QFORPLAN,8.2279e+08,0.110343,6.63384e+09,37,514,12104,23904.3,6.71654
1,2,0,QGFRDXPN,2.68679e+08,0.00266571,1.00522e+11,43,508,17.0702,0.300201,7.39149
0,3,0,QGROW15,5.80934e+06,0.0571259,-9.58843e+07,100,379,0.218861,9.08835e-05,5.8555
0,3,0,QGROW22,7.84889e+06,0.0524557,-1.4178e+08,100,391,0.23102,9.109e-05,9.17774
0,3,0,QGROW7,1.85568e+06,0.0433582,-4.0943e+07,100,332,0.0790971,3.85792e-05,2.42596
1,2,0,QISRAEL,196766,0.00776263,2.51511e+07,82,500,11.6747,0.817175,1.87585
1,0,0,QPCBLEND,2.22436e-07,2.83627e-05,-0.00784276,59,102,6.02554e-05,1.02433e-08,0.0981743
1,0,0,QPCBOEI1,28.3616,2.46539e-06,1.15039e+07,67,200,9.5644e-05,0.0169345,0.669727
1,2,0,QPCBOEI2,53515.8,0.00654871,8.11845e+06,92,508,2.45202,0.0333146,0.522332
1,0,0,QPCSTAIR,0.0237889,3.83421e-09,6.20439e+06,34,132,8.29111e-05,9.56659e-07,0.893551
1,2,1,QPILOTNO,3909.59,0.000826798,4.7325e+06,21,514,3071.6,37846.2,38.7187
1,0,0,QPTEST,4.40492e-06,1.00756e-06,4.37188,21,13,2.43785e-05,6.25201e-06,0.002119
1,0,0,QRECIPE,1.18604e-05,4.44851e-08,-266.616,41,83,4.57717e-05,2.36892e-06,0.137109
1,0,0,QSC205,1.04653e-07,1.80004e-05,-0.00581406,29,55,6.48729e-05,3.29928e-09,0.177191
1,2,0,QSCAGR25,92727.7,0.000459644,2.01645e+08,65,502,20.0466,0.176374,3.48353
1,0,0,QSCAGR7,0.808666,3.01e-08,2.68659e+07,80,476,3.23084e-05,0.0389622,0.843928
0,2,0,QSCFXM1,338556,0.0200534,1.65441e+07,23,508,2508.84,3062.07,4.9909
0,2,1,QSCFXM2,1.27972e+06,0.0460726,2.64964e+07,21,522,2876.43,1.75363e+06,10.7691
0,2,1,QSCFXM3,2.45877e+06,0.0797879,2.83576e+07,19,515,2685.9,583840,18.2034
1,0,0,QSCORPIO,0.272625,0.000144974,1880.24,47,166,9.26673e-05,1.93218e-05,1.04093
1,2,0,QSCRS8,5.89911,0.00652152,898.661,38,502,0.00692819,0.00884049,7.56567
1,0,0,QSCSD1,0.0013995,0.00016148,8.66807,30,70,4.58259e-05,2.2501e-09,0.717459
1,0,0,QSCSD6,0.0173674,0.000341823,50.7908,43,122,6.62772e-05,1.00118e-07,2.52277
1,0,0,QSCSD8,0.000971978,1.03318e-06,940.763,35,203,8.0093e-05,4.80417e-08,10.3078
1,0,0,QSCTAP1,0.0694446,4.90476e-05,1415.79,41,227,5.24771e-05,7.49168e-06,1.60607
1,0,0,QSCTAP2,0.000866269,4.99283e-07,1735.03,19,103,4.85906e-05,0.000716065,7.16329
1,0,0,QSCTAP3,0.000412577,2.8676e-07,1438.76,19,93,4.22086e-05,0.00450091,10.5425
0,2,0,QSEBA,7.74381e+07,0.950373,4.04368e+06,40,504,2012.23,0.0779585,9.30489
0,2,0,QSHARE1B,12423.8,0.0172534,732502,82,505,0.00051209,7.08808e-05,1.48869
0,2,0,QSHARE2B,430.432,0.0367774,11273.3,79,500,0.231724,0.266098,0.658412
0,3,0,QSHELL,5.5412e+11,0.352351,1.01852e+12,100,463,497.285,1.34196e-05,43.2884
1,2,0,QSHIP04L,3522.43,0.00145554,2.41649e+06,83,510,0.0457941,9.38354e-05,12.6712
1,2,0,QSHIP04S,2129.39,0.0008781,2.42286e+06,77,500,0.0229651,9.41304e-05,8.46457
1,2,0,QSHIP08L,459.822,0.000193524,2.37558e+06,77,515,0.0263346,0.000392389,103.763
