System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
S,0,0,0,SEBA,873.272,0.0555813,16584.9,20,260,0.00023491,0.0568558,21.9148
S,0,0,0,SHARE1B,18829.6,0.245851,-57759.8,28,292,0.000961396,1.98222e-05,0.608374
S,1,0,0,SHARE2B,0.156424,0.000376262,-415.576,31,182,0.000813266,0.0679821,0.275433
S,1,1,0,SHELL,42448.8,3.51158e-05,1.20887e+09,200,811,0.0867635,3.95292e-06,11.8082
S,1,0,0,SHIP04L,2.96299,1.65223e-06,1.79332e+06,146,729,4.41177e-05,0.000148346,9.17311
S,1,0,0,SHIP04S,76.859,4.273e-05,1.79864e+06,44,339,0.000961757,0.119529,4.36974
S,0,2,1,SHIP08L,5.89041e+06,3.08551,-3.98136e+06,78,2014,57158.7,1.8131e+08,86.8419
S,1,2,0,SHIP08S,17982.1,0.00936521,1.90212e+06,116,2019,0.789391,0.671034,50.9083
S,0,2,1,SHIP12L,4.65133e+06,3.16376,-3.18114e+06,75,2026,29951.9,2.13674e+08,121.655
S,1,2,0,SHIP12S,57.5947,3.8674e-05,1.48929e+06,180,2000,0.00181413,0.393897,53.0681
S,0,3,1,SIERRA,3.59761e+09,233.697,-3.58221e+09,5,78,10858.1,0,2.93499
S,1,0,0,STAIR,1.04174e-06,4.14596e-09,-251.267,51,511,0.000151024,4.59021e-05,5.90487
S,1,0,0,STANDATA,0.0695411,5.52923e-05,1257.77,24,133,0.000182896,0.0618166,2.16606
S,1,0,0,STANDMPS,0.000165393,1.17632e-07,1406.02,31,309,0.000415613,0.0458372,6.58824
S,1,0,0,STOCFOR1,4.07651,9.91081e-05,-41127.9,45,203,0.000310887,0.0621705,0.196053
K,1,0,0,STOCFOR2,1.41238,3.61921e-05,-39023,81,1357,0.000234552,0.0208239,30.1752
S,0,0,0,TUFF,0.162894,0.557573,0.455042,34,315,0.000196863,0.000161989,3.18274
S,0,3,1,VTP.BASE,129166,0.994873,665.636,5,79,153.136,39707.3,0.457976
S,1,0,0,WOOD1P,0.00013609,9.43168e-05,1.44277,19,62,0.000627161,0.000527986,4.1653
S,1,0,0,WOODW,6.60038e-06,5.05979e-06,1.30448,39,370,9.15458e-05,0.000108097,49.2454
