System,infeas_detected,opt_status,name,PMM_iter,SSN_iter,PMM_res,SSN_res,solving_time_sec,linesearch_fails
S,1,-2,BGINDY,37,811,1e+20,1e+20,3.22403,21
S,1,-2,BGPRTR,47,165,1e+20,1e+20,0.00199121,0
S,1,-2,BOX1,61,374,1e+20,1e+20,0.0430012,1
K,1,-2,CERIA3D,31,67,1e+20,1e+20,0.122185,0
S,1,-2,CHEMCOM,54,398,1e+20,1e+20,0.0863763,46
S,1,-2,CPLEX1,53,1455,1e+20,1e+20,16.5236,46
K,0,0,CPLEX2,30,110,1.11775e-07,4.30865e-09,0.0137413,0
S,0,1,EX72A,1000,39831,0.0179489,8.73721e-05,2.74909,492
S,0,1,EX73A,1000,39315,0.0404155,5.64744e-05,2.83348,480
S,0,1,GALENET,1000,39415,0.823529,0.00359789,0.155813,513
S,0,1,GOSH,1000,30294,0.000497821,2.70533e-09,199.255,864
K,0,1,GRAN,1000,39277,7.59988e-05,0.00129626,16.9358,256
S,1,-2,GREENBEA,95,3183,1e+20,1e+20,19.1638,84
K,1,-2,ITEST2,8,11,1e+20,1e+20,0.000128084,0
K,1,-2,ITEST6,6,10,1e+20,1e+20,0.0001105,0
S,1,-2,KLEIN1,80,572,1e+20,1e+20,0.0303834,0
K,1,-2,KLEIN2,78,1085,1e+20,1e+20,0.135428,0
K,1,-2,KLEIN3,75,764,1e+20,1e+20,0.349095,0
S,1,-2,MONDOU2,19,85,1e+20,1e+20,0.0282884,0
S,0,1,PANG,1000,42174,0.000131143,4.92381e-05,3.97512,466
S,0,1,PILOT4I,1000,42760,0.0010431,7.90467e-05,14.9569,455
S,0,1,QUAL,1000,38045,8.53739e-05,0.001775,11.2819,2
S,1,-2,REACTOR,65,787,1e+20,1e+20,0.191195,3
S,1,-2,REFINERY,50,229,1e+20,1e+20,0.108134,0
S,0,1,VOL1,1000,38270,0.000148208,0.00159762,11.4279,24
S,1,-2,WOODINFE,71,1131,1e+20,1e+20,0.0655456,0

1e-7
S,1,-2,BGDBG1,15,37,1e+20,1e+20,0.013002,0
S,1,-2,BGETAM,29,150,1e+20,1e+20,0.0851278,0
S,1,-2,BGINDY,26,312,1e+20,1e+20,1.53568,0
S,1,-2,BGPRTR,30,81,1e+20,1e+20,0.00135763,0
S,1,-2,BOX1,50,70,1e+20,1e+20,0.0100772,0
K,1,-2,CERIA3D,30,66,1e+20,1e+20,0.121176,0
S,1,-2,CHEMCOM,21,67,1e+20,1e+20,0.0275688,0
S,1,-2,CPLEX1,51,1353,1e+20,1e+20,16.2024,42
K,0,0,CPLEX2,30,110,1.11775e-07,4.30865e-09,0.0141509,0
S,1,-2,EX72A,30,48,1e+20,1e+20,0.00816954,0
S,1,-2,EX73A,34,55,1e+20,1e+20,0.0774977,0
S,1,-2,GALENET,57,734,1e+20,1e+20,0.011849,0
S,0,1,GOSH,1000,30294,0.000497821,2.70533e-09,201.779,864
K,0,1,GRAN,1000,39277,7.59988e-05,0.00129626,16.5657,256
S,1,-2,GREENBEA,50,1364,1e+20,1e+20,10.1034,2
K,1,-2,ITEST2,7,10,1e+20,1e+20,0.000119833,0
K,1,-2,ITEST6,6,10,1e+20,1e+20,0.000120167,0
S,1,-2,KLEIN1,73,513,1e+20,1e+20,0.0289655,0
K,1,-2,KLEIN2,72,916,1e+20,1e+20,0.157191,0
K,1,-2,KLEIN3,68,497,1e+20,1e+20,0.31166,0
S,1,-2,MONDOU2,18,81,1e+20,1e+20,0.025592,0
S,1,-2,PANG,116,3731,1e+20,1e+20,0.590361,41
S,1,-2,PILOT4I,63,1215,1e+20,1e+20,1.03082,5
S,0,1,QUAL,1000,38045,8.53739e-05,0.001775,11.6709,2
S,1,-2,REACTOR,53,391,1e+20,1e+20,0.140993,0
S,1,-2,REFINERY,42,188,1e+20,1e+20,0.0948878,0
S,0,1,VOL1,1000,38270,0.000148208,0.00159762,11.4012,24
S,1,-2,WOODINFE,42,147,1e+20,1e+20,0.00409638,0

S,1,-2,BGDBG1,15,37,1e+20,1e+20,0.012805,0
S,1,-2,BGETAM,29,150,1e+20,1e+20,0.0831306,0
S,1,-2,BGINDY,26,312,1e+20,1e+20,1.58709,0
S,1,-2,BGPRTR,30,81,1e+20,1e+20,0.00130387,0
S,1,-2,BOX1,50,70,1e+20,1e+20,0.0105695,0
K,1,-2,CERIA3D,30,66,1e+20,1e+20,0.12608,0
