nc,n_display,alpha1,alpha2,ssn_status,ssn_solved,pmm_iter,ssn_iter,krylov_iter,ssn_time,ssn_obj,qpalm_status,qpalm_solved,qpalm_iter,qpalm_time,qpalm_obj,osqp_status,osqp_solved,osqp_iter,osqp_time,osqp_obj
6,8450,0.01,0.01,0,1,64,1082,237,11.747443292289972,0.2076781009994711,1,1,22,0.12173845805227757,0.07937508851770732,1,1,5350,3.2640436654910445,0.07937508425437967
6,8450,0.0001,0.01,0,1,16,48,21,0.37643495853990316,0.2077624566089229,1,1,24,0.14279912505298853,0.0793750885177072,1,1,5350,3.2507567079737782,0.07937508425442635
6,8450,1e-06,0.01,0,1,16,66,21,0.4088129997253418,0.20775482387735156,1,1,33,0.21365645807236433,0.07937508753973413,1,1,5025,3.099188250489533,0.07937639756857545
