System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
M,1,0,0,HS76,3.90992e-07,8.35128e-08,-4.68182,6,17,19,10,4.58537e-07,1.52689e-06,0.000166042,0

M,1,0,0,AUG2D,3.21338,1.90432e-06,1.68741e+06,50,143,209,39,8.02587e-07,7.21402e-08,0.689922,0
M,1,0,0,AUG2DC,2.03346,1.11829e-06,1.81837e+06,37,53,46,38,4.68646e-07,9.90962e-10,0.3678,0
M,1,0,0,AUG2DCQP,6.97194,1.07291e-06,6.49813e+06,51,203,1869,85,4.35448e-07,6.09762e-07,2.01809,0
M,1,0,0,AUG2DQP,6.57694,1.0545e-06,6.23701e+06,50,154,1723,95,4.26645e-07,1.47848e-08,1.97094,0
M,1,0,0,AUG3D,0.0003817,6.88905e-07,554.067,6,7,10,7,4.1355e-07,2.08896e-07,0.0122559,0
M,1,0,0,AUG3DC,0.000273084,3.54074e-07,771.262,7,8,6,8,2.08652e-07,3.09187e-10,0.0145022,0
M,1,0,0,AUG3DCQP,0.000370011,3.72484e-07,993.362,14,35,311,24,1.75079e-07,9.31438e-07,0.0487382,0
M,1,0,0,AUG3DQP,0.000656261,9.71897e-07,675.237,13,28,243,28,4.30994e-07,9.70599e-13,0.106821,0
M,1,4,0,BOYD1,41376.4,0.000670223,-6.16938e+07,319,2585,2895,1166,0.000132167,1.55678e-05,60.0833,36
std::bad_alloc,0,-1,0,BOYD2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
M,1,0,0,CONT-050,1.02568e-06,2.2474e-07,-4.56385,50,219,508,56,7.78724e-07,3.191e-07,0.466979,0
M,1,0,0,CONT-100,2.24822e-05,4.84072e-06,-4.64438,66,340,925,73,9.33153e-07,3.53859e-07,4.72584,0
M,1,0,0,CONT-101,6.26084e-05,0.000320203,0.19559,89,494,5399,230,9.54248e-07,2.6845e-08,12.4649,0
