agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
1,0,0,GOULDQP3,0.000561529,0.000272219,2.06222,13,21,6.11117e-05,3.24085e-06,0.885144
0,0,0,HS268,0.37376,652165,0.373761,6,19,6.5306e-05,0.0327015,0.0144252
0,1,0,LISWET1,11.1195,0.307829,25.0029,150,67,0.0100787,0.0514999,22.6683
1,0,0,LISWET2,0.00332333,0.000132943,24.9948,21,22,9.14142e-05,0.0209258,16.4996
0,2,1,POWELL20,8.91048e+09,0.171061,4.31791e+10,30,610,7502.5,8.57467e+07,29.1968
1,0,0,PRIMAL1,1.00122e-06,2.85958e-05,-0.035012,7,9,9.19852e-06,0.000199047,0.0952549
1,2,0,PRIMALC1,0.0511803,8.31489e-06,-6155.3,43,624,0.0034318,0.00758849,0.477963
1,0,0,QAFIRO,7.36902e-07,4.63233e-07,-1.59078,26,32,6.73547e-05,0.00127519,0.0465815
0,2,0,QFORPLAN,8.23296e+08,0.110411,6.63334e+09,65,609,2479.74,0.197642,7.33851
0,2,0,QGROW15,9.90323e+07,0.97383,-2.66135e+06,46,609,0.445472,1.49781e-05,11.0819
0,2,0,QPCBOEI2,907425,0.111041,7.26454e+06,82,601,2.88778,0.0825859,1.00451
1,0,0,QPCSTAIR,0.023894,3.85114e-09,6.20439e+06,35,141,7.50364e-05,0.000923538,2.06685
1,2,1,QPILOTNO,2771.97,0.000586215,4.73136e+06,23,610,7698.57,109275,59.0735
1,0,0,QSCORPIO,0.280544,0.000149185,1880.23,101,380,9.51276e-05,0.0346443,3.45453
0,2,0,QSCRS8,74.6138,0.0824863,829.946,69,600,0.0137991,0.0906797,15.9222
1,0,0,QSCSD1,0.00013459,1.55297e-05,8.6668,21,57,6.03478e-05,0.000159216,1.18651
0,2,0,QSCTAP1,2111.55,1.49136,-695.692,86,610,21.9158,17.1484,10.5858
0,2,0,QSHARE1B,13683.5,0.0190028,733762,41,613,0.000512137,0.000258013,1.81183
0,2,0,QSTANDAT,6189,0.965245,222.843,139,602,5.1619,20.9038,25.297
1,0,0,TAME,2.5001e-11,inf,2.5001e-11,16,10,8.77041e-05,2.47533e-11,0.0214714
0,0,0,VALUES,0.0852983,0.0610748,-1.31132,17,51,5.4792e-05,0.000500514,0.324483
0,2,0,YAO,189.073,0.956345,8.63077,43,626,6.64213,151.314,11.0701
1,0,0,AUG2DQP,52.1187,8.35636e-06,6.23696e+06,35,97,5.26727e-05,3.99026e-07,31.1162
1,0,0,CONT-050,0.0185462,0.00406372,-4.5453,33,138,8.17073e-05,7.14448e-06,8.4956
1,0,0,DPKLO1,5.03263e-08,1.35982e-07,0.370096,17,13,2.67255e-05,6.89396e-06,0.0868539
0,3,0,DUALC1,4.22659e+06,686.664,-4.22044e+06,150,468,270.828,0.731846,0.638447
1,0,0,GOULDQP3,0.000561529,0.000272219,2.06222,13,21,6.11117e-05,3.24085e-06,0.896674
0,0,0,HS268,0.37376,652165,0.373761,6,19,6.5306e-05,0.0327015,0.0089101
0,0,0,LISWET1,11.1199,0.307838,25.0025,42,62,7.53612e-06,0.000727043,21.6575
1,0,0,LISWET2,0.00332333,0.000132943,24.9948,21,22,9.14142e-05,0.0209258,16.1381
0,2,1,POWELL20,9.27106e+09,0.177983,4.28185e+10,27,520,7497.79,3.16532e+07,24.5051
1,0,0,PRIMAL1,1.00122e-06,2.85958e-05,-0.035012,7,9,9.19852e-06,0.000199047,0.0906204
0,2,0,PRIMALC1,619.458,0.100639,-5535.79,39,523,9.47846,0.00256406,0.40883
1,0,0,QAFIRO,2.93117e-06,1.8426e-06,-1.59078,25,100,6.13081e-05,0.00112254,0.0740419
0,2,0,QFORPLAN,8.23279e+08,0.110409,6.63335e+09,54,511,1075.09,0.886097,6.07637
0,2,0,QGROW15,9.88492e+07,0.972029,-2.84446e+06,47,501,0.445472,8.4568e-06,9.05741
0,2,0,QPCBOEI2,910350,0.111399,7.26161e+06,69,503,14.7613,0.248509,0.751808
1,0,0,QPCSTAIR,0.0545286,8.78871e-09,6.20439e+06,44,193,4.39682e-05,2.12043e-05,2.2511
1,2,1,QPILOTNO,19.2289,4.06653e-06,4.72857e+06,20,520,1841.24,55737.1,52.2314
1,0,0,QSCORPIO,0.280544,0.000149185,1880.23,101,380,9.51276e-05,0.0346443,3.39309
0,2,0,QSCRS8,74.481,0.0823394,830.079,46,500,0.0129551,0.305969,13.1774
1,0,0,QSCSD1,0.00013459,1.55297e-05,8.6668,21,57,6.03478e-05,0.000159216,1.15354
0,2,0,QSCTAP1,2061.89,1.45628,-646.027,70,501,19.4317,1.03786,8.36677
0,2,0,QSHARE1B,13540.2,0.0188038,733618,44,502,0.00056437,7.14877e-06,1.64892
0,2,0,QSTANDAT,6205.86,0.967875,205.979,110,500,10.0868,0.148197,21.176
1,0,0,TAME,2.5001e-11,inf,2.5001e-11,16,10,8.77041e-05,2.47533e-11,0.0161431
0,0,0,VALUES,0.0852983,0.0610748,-1.31132,17,51,5.4792e-05,0.000500514,0.315687
0,2,0,YAO,190.565,0.963887,7.13961,39,506,41.2824,73.5409,7.59138


1,0,0,AUG2DQP,52.1187,8.35636e-06,6.23696e+06,35,97,5.26727e-05,3.99026e-07,30.5173
1,0,0,CONT-050,0.0185462,0.00406372,-4.5453,33,138,8.17073e-05,7.14448e-06,8.53595
