problem,nc,n_display,alpha1,alpha2,ssn_status,ssn_solved,pmm_iter,ssn_iter,pmm_tol_achieved,ssn_time,ssn_obj,ssn_peak_ram_mb,qpalm_status,qpalm_solved,qpalm_iter,qpalm_tol_achieved,qpalm_time,qpalm_obj,qpalm_peak_ram_mb,osqp_status,osqp_solved,osqp_iter,osqp_tol_achieved,osqp_time,osqp_obj,osqp_peak_ram_mb
poisson,6,8450,0.0001,0.0001,0,1,18,79,5.313393442519022e-07,0.5376777928322554,0.20768652364602314,120.453125,1,1,24,8.873336028292602e-07,0.14379662461578846,0.07937508851771308,90.21875,1,1,5350,2.6710040208317364e-07,3.317151792347431,0.07937508425353851,70.40625
poisson,7,33282,0.0001,0.0001,0,1,29,265,7.689978826130615e-07,6.799289248883724,0.265256928865458,332.296875,1,1,83,6.331218579529907e-08,2.9115914162248373,0.08697397198455344,199.203125,1,1,137650,1.9032449925017044e-06,432.3498346246779,0.08697398747011481,136.765625
poisson,8,132098,0.0001,0.0001,0,1,33,334,9.985159110231838e-07,45.66942045837641,1.071467155267265,841.453125,1,1,376,5.070139471782056e-08,137.0387689154595,0.09082681731315811,649.75,8,0,119204,8574.03969388066,1800.0247289165854,38964.93324408142,415.84375
poisson,9,526338,0.0001,0.0001,0,1,83,510,4.675574145382559e-07,865.0829718764871,13.932011210897159,306.546875,-5,0,403,0.000563829099455071,1803.9828560426831,0.09276955388291215,1735.8125,8,0,22539,583016.0432050147,1800.1246917918324,1229691.0438281188,1544.984375
