name,ssn_solved,ssn_status,pmm_iter,ssn_iter,ssn_obj,pmm_tol_achieved,ssn_time,ssn_avg_ram_mb,qpalm_solved,qpalm_status,qpalm_iter,qpalm_inner_iter,qpalm_obj,qpalm_tol_achieved,qpalm_time,qpalm_avg_ram_mb,osqp_solved,osqp_status,osqp_iter,osqp_obj,osqp_tol_achieved,osqp_time,osqp_avg_ram_mb
AUG2D,1,0,19,24,1687409.7742570462,5.015420074656024e-07,0.145721834,123.5,1,1,8,16,1677451.6548751993,2.8454170770575438e-05,0.076369249,150.40625,,,,,,,
AUG2DC,1,0,19,25,1818365.3257366002,6.423156757584536e-07,0.14549587500000002,127.9375,1,1,8,16,1808267.7914470825,8.509711865167802e-07,0.084875749,153.8125,,,,,,,
AUG2DCQP,1,0,28,96,6498133.152963122,9.996085819720926e-08,1.401067333,141.4375,1,1,12,47,6487968.499224074,6.415143845561744e-05,0.288012498,152.296875,,,,,,,
AUG2DQP,1,0,28,66,6237009.859102604,1.4214993360183979e-07,1.1663497090000001,141.5,1,1,13,57,6227067.414828271,7.5845803274576795e-06,0.316591665,150.465625,,,,,,,
AUG3D,1,0,4,5,554.0667596696953,9.132886985843998e-07,0.007081625,105.46875,1,1,5,10,-782.433172613789,9.466943013958229e-07,0.011003207,110.171875,,,,,,,
AUG3DC,1,0,5,6,771.2624147809388,1.836948659850176e-08,0.008478040999999999,104.59375,1,1,8,16,-1165.2379103693238,5.990728066951334e-07,0.015685249,109.1875,,,,,,,
AUG3DCQP,1,0,6,17,993.3599991172755,9.576297292752219e-07,0.0287745,105.078125,1,1,13,35,-943.1378599380864,5.664030136180054e-07,0.041547999,109.375,,,,,,,
AUG3DQP,1,0,6,14,675.2369167810239,4.908685402435511e-07,0.025385584000000003,105.5,1,1,13,35,-661.2623526416307,2.7401470849125826e-06,0.044803957,109.546875,,,,,,,
BOYD1,0,4,1,16,-60714755.19188389,0.05406062537876012,97.91614125000001,417.53125,1,1,57,156,-61735218.69934834,0.1806306120235271,3.157289832,417.17483836206895,,,,,,,
BOYD2,0,4,1,20,42.0334314696575,0.33534181464066476,75.041841042,165.265625,0,-5,692,2018,66.36033455559543,1.324032105520126,30.008838082,328.2603754940711,,,,,,,
CONT-050,1,0,120,2035,-4.56385041109303,4.4983557354049404e-08,1.620802166,109.796875,1,1,4,11,-4.56385048122636,7.842794096102335e-08,0.026209498,109.171875,,,,,,,
CONT-100,1,0,12,26,-4.644401284328083,2.3287910197563462e-07,0.660533084,148.65625,1,1,6,33,-4.644415521097686,2.0250124919268808e-07,0.652218082,148.06392045454547,,,,,,,
CONT-101,1,0,21,262,0.1955273551761424,6.913948885958211e-07,10.258436750000001,164.984375,1,1,6,123,0.19529107611552288,3.0681724424076485e-06,3.10513779,145.9693396226415,,,,,,,
CONT-200,1,0,15,32,-4.684888948187826,1.7621576895116096e-07,7.6113115,356.15625,1,1,5,15,-4.685169773951925,3.576763681920993e-06,1.625367041,276.82142857142856,,,,,,,
CONT-201,0,4,6,104,-0.03334301192588858,0.18189946249898786,31.748523084000002,355.53125,0,-5,2,83,-0.09556650418895012,0.14444668690401824,30.217029332000003,306.14831495098036,,,,,,,
