name,ssn_solved,ssn_status,pmm_iter,ssn_iter,ssn_obj,pmm_tol_achieved,ssn_time,ssn_avg_ram_mb,qpalm_solved,qpalm_status,qpalm_iter,qpalm_inner_iter,qpalm_obj,qpalm_tol_achieved,qpalm_time,qpalm_avg_ram_mb,osqp_solved,osqp_status,osqp_iter,osqp_obj,osqp_tol_achieved,osqp_time,osqp_avg_ram_mb
AUG2D,1,0,8,56,1687410.650780605,2.793446779397598e-07,0.153089833,126.4375,1,1,8,16,1677451.6548751993,2.8454170770575438e-05,0.079327999,158.46875,,,,,,,
AUG2DC,1,0,9,78,1818367.96693464,2.312336677690041e-08,0.150574334,125.65625,1,1,8,16,1808267.7914470825,8.509711865167802e-07,0.080809208,149.921875,,,,,,,
AUG2DCQP,1,0,11,130,6498130.924529718,2.4035881537902925e-07,0.717513084,142.859375,1,1,12,47,6487968.499224074,6.415143845561744e-05,0.264503041,154.43125,,,,,,,
AUG2DQP,1,0,11,126,6237008.796341951,2.1187954568589507e-07,0.6698689170000001,140.984375,1,1,13,57,6227067.414828271,7.5845803274576795e-06,0.32657324899999995,156.7578125,,,,,,,
AUG3D,1,0,5,10,554.0677198182102,2.606937500119595e-07,0.01020825,nan,1,1,5,10,-782.433172613789,9.466943013958229e-07,0.011017707,nan,,,,,,,
AUG3DC,1,0,5,8,771.2624397860604,5.396276646073278e-09,0.009403083000000001,nan,1,1,8,16,-1165.2379103693238,5.990728066951334e-07,0.015425999000000001,nan,,,,,,,
AUG3DCQP,1,0,5,18,993.3619035269339,1.0840028104668235e-07,0.029410334,nan,1,1,13,35,-943.1378599380864,5.664030136180054e-07,0.040639748,nan,,,,,,,
AUG3DQP,1,0,5,18,675.2375900348407,5.3319003082704754e-08,0.033524959,nan,1,1,13,35,-661.2623526416307,2.7401470849125826e-06,0.044795873,nan,,,,,,,
BOYD1,0,4,7071,133610,-61735200.69466552,7.26161318900555e-06,1800.037734958,113.75,1,1,57,156,-61735218.69934834,0.1806306120235271,3.225136124,429.00511363636366,,,,,,,
