System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
S,1,0,0,SCTAP2,0.000888568,5.1517e-07,1724.81,24,71,1.77035e-05,9.66588e-07,0.0974661,0
S,1,0,0,SCTAP3,0.000688779,4.83693e-07,1424,21,77,1.83035e-05,2.12046e-10,0.155714,0
S,1,0,0,SEBA,41.1936,0.00262186,15752.8,73,463,3.7003e-05,4.70865e-06,2.93257,0
S,1,0,0,SHARE1B,457.962,0.00597945,-76131.4,7783,67319,4.24665e-05,9.59602e-08,1.74645,0
K,1,0,0,SHARE2B,0.00526196,1.26571e-05,-415.738,31,139,5.19335e-05,6.69727e-09,0.00896929,0
S,1,0,0,SHELL,16015.9,1.32491e-05,1.20884e+09,73,454,5.32526e-05,1.70718e-06,0.334957,0
S,1,3,0,SHIP04L,92.5446,5.1605e-05,1.79323e+06,209,1605,0.00115709,2.04499e-07,0.680565,0
S,1,3,0,SHIP04S,253.916,0.000141165,1.79846e+06,213,1822,0.000322984,1.37396e-07,0.572175,0
S,1,3,0,SHIP08L,107.313,5.62124e-05,1.90895e+06,231,2686,0.00448482,1.35443e-07,3.14825,0
S,1,0,0,SHIP08S,0.743462,3.872e-07,1.9201e+06,198,1022,8.75703e-07,2.1044e-06,1.42322,0
S,1,0,0,SHIP12L,24.8312,1.68898e-05,1.47016e+06,1228,15922,1.54512e-05,8.58074e-08,25.016,0
S,1,0,0,SHIP12S,30.2863,2.03368e-05,1.48921e+06,1505,21755,1.96039e-05,7.75824e-08,17.156,0
S,1,0,0,SIERRA,2.61435,1.69825e-07,1.53944e+07,41,211,1.14815e-05,0.000257119,0.245177,0
S,1,0,0,STAIR,0.00157541,6.26985e-06,-251.265,59,463,7.71462e-05,2.5729e-07,0.392102,0
S,1,0,0,STANDATA,0.028601,2.27407e-05,1257.73,31,180,4.27521e-05,3.81534e-06,0.0979321,0
S,1,0,0,STANDMPS,0.00333578,2.37251e-06,1406.02,37,253,4.67559e-06,8.08213e-08,0.165448,0
K,1,0,0,STOCFOR1,1.03688,2.52085e-05,-41133,46,153,4.8468e-05,1.61191e-05,0.00820258,0
K,1,0,0,STOCFOR2,7.06255,0.000180978,-39017.3,89,1115,9.79336e-05,6.12043e-06,1.40397,0
S,0,0,0,TUFF,0.137465,0.470531,0.429612,31,222,4.98606e-05,2.08016e-10,0.166571,0
S,1,0,0,VTP.BASE,0.289675,2.23116e-06,129832,52,256,4.26924e-05,1.33821e-05,0.0471654,0
S,1,0,0,WOOD1P,0.000857707,0.000594432,1.44204,25,94,8.91294e-05,6.95812e-10,0.31095,0
S,1,0,0,WOODW,0.0005054,0.000387435,1.30498,29,222,7.77158e-05,1.05013e-07,1.40964,0
