System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
K,0,2,0,DUALC2,97416.4,27.4311,-93865.1,404,30076,0.374468,612.336,12.5213
K,1,1,0,DUALC5,0.149674,0.000350335,427.083,3000,11812,0.000409013,1.80866e-07,7.9443
K,1,0,0,PRIMALC1,5.85225,0.000950773,-6149.4,316,15626,4.31359e-05,0.000951195,15.278
S,1,0,0,PRIMALC8,15.8669,0.000866596,-18325.3,405,13942,6.07669e-05,0.00347107,14.359
S,1,2,0,QBRANDY,0.675527,2.3807e-05,28374.4,724,30054,0.00127852,3.463e-06,152.095
S,1,0,0,QGROW7,859.771,2.00887e-05,-4.27979e+07,676,1571,6.78704e-05,1.30311e-06,14.8555
K,1,2,0,QISRAEL,88.1175,3.47633e-06,2.53477e+07,372,30038,0.140918,216.087,77.2753
S,1,2,0,QPCBLEND,5.55749e-06,0.000708634,-0.0078481,311,30092,0.0129906,0.761184,17.492
K,1,2,1,QSHARE2B,100.572,0.00859319,11603.1,305,30083,141.147,303.965,35.7217
S,0,3,1,S268,2772.63,4.83789e+09,-2772.63,12,255,12.8424,0.00545117,0.0192982

K,1,3,0,S268,0.000587275,1024.72,-0.000586702,31,255,0.000524385,1.11522e-06,0.0447661

K,1,3,0,S268,0.000882999,1540.72,-0.000882426,61,554,0.00080988,1.13749e-06,0.105267

K,1,3,0,S268,0.00376797,6574.63,0.00376854,31,408,0.00791311,2.02132e-06,0.0757037

K,1,3,0,S268,0.000882999,1540.72,-0.000882426,61,554,0.00080988,1.13749e-06,0.0977525

K,1,3,0,S268,0.000587275,1024.72,-0.000586702,31,255,0.000524385,1.11522e-06,0.0497274

K,1,3,0,S268,0.000961323,1677.39,-0.00096075,29,259,0.000933126,8.54191e-07,0.04973

K,1,3,0,S268,0.00175036,3054.16,-0.00174979,21,215,0.00303643,6.20539e-07,0.0644998

K,1,3,0,S268,0.00175036,3054.16,-0.00174979,21,215,0.00303643,6.20539e-07,0.0355937

K,1,3,0,S268,0.00275124,4800.58,-0.00275067,21,213,0.00339554,2.61311e-06,0.0353221

K,1,3,0,S268,0.00149526,2609.04,-0.00149468,25,233,0.00136713,1.39409e-06,0.0452529

K,1,3,0,S268,0.000166219,290.032,-0.000165646,29,237,0.00013784,2.45464e-06,0.0378847

K,1,3,0,S268,0.000587275,1024.72,-0.000586702,31,255,0.000524385,1.11522e-06,0.0405226

K,1,3,0,S268,0.000587275,1024.72,-0.000586702,31,255,0.000524385,1.11522e-06,0.0732383

K,1,3,0,S268,0.000350592,611.739,-0.000350019,38,328,0.000299066,1.55342e-06,0.0533927

K,1,3,0,S268,0.000218813,381.801,-0.00021824,59,474,0.000180257,3.62858e-07,0.0713588

K,1,3,0,S268,0.000218813,381.801,-0.00021824,59,474,0.000180257,3.62858e-07,0.0736822

