problem,nc,n_display,alpha1,alpha2,ssn_status,ssn_solved,pmm_iter,ssn_iter,pmm_tol_achieved,ssn_time,ssn_obj,qpalm_status,qpalm_solved,qpalm_iter,qpalm_inner_iter,qpalm_tol_achieved,qpalm_time,qpalm_obj,osqp_status,osqp_solved,osqp_iter,osqp_tol_achieved,osqp_time,osqp_obj
poisson,6,12675,0.01,0.01,0,1,5,27,4.2286091511923895e-05,0.37544983400000004,0.20368213258267664,1,1,11,21,1.205373136921946e-05,0.117314998,0.07937525952913915,,,,,,
poisson,6,12675,0.0001,0.01,0,1,5,10,4.22858958425987e-05,0.15741537500000002,0.20368817952999446,1,1,11,23,1.5365168535178258e-05,0.139300748,0.07937530701998205,,,,,,
poisson,6,12675,1e-06,0.01,0,1,5,7,4.5728327830382734e-05,0.112777958,0.20368503787718295,1,1,11,24,4.209351489225429e-05,0.15356266600000001,0.07937525899387864,,,,,,
poisson,6,12675,0.0,0.01,0,1,5,7,4.5728327870994237e-05,0.098984916,0.20368500367891945,1,1,11,21,1.2053715881084597e-05,0.119947123,0.07937525874344377,,,,,,
poisson,7,49923,0.01,0.01,0,1,8,34,9.035678196918727e-05,2.8298068750000005,0.20439759752565023,1,1,16,32,5.080690679698496e-07,1.261895081,0.08697396821603912,,,,,,
poisson,7,49923,0.0001,0.01,0,1,8,17,8.666429015875216e-05,1.474221542,0.204088494423247,1,1,16,35,5.080100823808918e-07,1.570754749,0.0869739682160125,,,,,,
poisson,7,49923,1e-06,0.01,0,1,10,14,9.412675302762859e-05,1.187332625,0.21255380051711226,1,1,17,34,1.5639317042725905e-05,1.411906373,0.08697384856987161,,,,,,
poisson,7,49923,0.0,0.01,0,1,10,14,9.412675302028872e-05,1.1376045,0.21255371904873016,1,1,16,32,5.080083786681896e-07,1.2694986240000001,0.08697396816689666,,,,,,
poisson,8,198147,0.01,0.01,0,1,14,59,7.603593573227614e-05,38.627773209,0.2170647435098928,1,1,28,55,9.367600939824141e-06,15.358509416,0.09082695397450678,,,,,,
poisson,8,198147,0.0001,0.01,0,1,14,34,7.617300842565063e-05,21.381841,0.21684188509540775,1,1,29,61,2.179853068672091e-05,18.980752290999998,0.09082649958617468,,,,,,
poisson,8,198147,1e-06,0.01,0,1,14,29,7.616626704199163e-05,15.073400375,0.21683489639335685,1,1,27,54,7.509922435074456e-05,15.916666165,0.09082707474125924,,,,,,
poisson,8,198147,0.0,0.01,0,1,14,29,7.616539837351937e-05,15.021546834,0.21683480010362405,1,1,27,55,3.6974003140108455e-05,15.449520956999999,0.09082713984875296,,,,,,
poisson,9,789507,0.01,0.01,0,1,18,62,6.825094111498681e-05,361.306157542,0.20653987527739137,1,1,47,97,2.0134937376620105e-05,316.687858415,0.09276658112236094,,,,,,
poisson,9,789507,0.0001,0.01,0,1,18,40,6.823387505258879e-05,230.678196542,0.2061326267809152,1,1,62,128,0.00018774550263133967,427.294829374,0.09276719179359062,,,,,,
poisson,9,789507,1e-06,0.01,0,1,18,41,6.823115216516222e-05,194.959580958,0.206122442182821,1,1,47,97,1.9964609465582976e-05,333.48527591600003,0.09276671429730222,,,,,,
poisson,9,789507,0.0,0.01,0,1,18,41,6.823150891580165e-05,191.29134375,0.2061223448897216,1,1,47,97,3.03802194217881e-05,325.37911762500005,0.09276669389943046,,,,,,
poisson,10,3151875,0.01,0.01,4,0,24,111,0.0051045600574303575,12418.534586167001,0.20307807962315527,-5,0,75,150,727.5993811270655,3620.117121707,0.13755865994914682,,,,,,
poisson,10,3151875,0.0001,0.01,0,1,23,54,1.1764044408309601e-05,3072.897550541,0.20324891616090346,-5,0,75,150,736.980926816855,3610.9647532910003,0.1375574474015711,,,,,,
poisson,10,3151875,1e-06,0.01,0,1,23,59,1.1762861019943608e-05,2682.654961375,0.20323923796736648,-5,0,75,150,738.8784441373415,3639.2424235820004,0.13757277699420717,,,,,,
poisson,10,3151875,0.0,0.01,4,0,20,51,0.0002066449346651982,3712.600174666,0.4500196114499303,-5,0,75,150,632.8300691578155,3631.8693508730003,0.13742397093140674,,,,,,
