System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
S,1,0,0,AUG2D,2.38603,1.41402e-06,1.68741e+06,43,70,5.92872e-07,1.14665e-08,0.784777,0
S,1,0,0,AUG2DC,3.84005,2.11181e-06,1.81836e+06,33,34,8.92176e-07,1.3338e-09,0.360714,0
S,1,0,0,AUG2DCQP,4.42901,6.81582e-07,6.49813e+06,43,185,2.75233e-07,1.11478e-07,2.68088,0
S,1,0,0,AUG2DQP,8.58225,1.37602e-06,6.237e+06,43,93,5.58225e-07,2.45509e-08,1.65061,0
S,1,0,0,AUG3D,0.000666546,1.203e-06,554.067,7,8,8.70889e-07,8.66291e-07,0.0187241,0
S,1,0,0,AUG3DC,0.000600991,7.7923e-07,771.262,8,9,4.60627e-07,1.32359e-09,0.0213376,0
S,1,0,0,AUG3DCQP,0.00106122,1.06831e-06,993.361,16,44,4.74535e-07,1.20857e-07,0.0851061,0
S,1,0,0,AUG3DQP,0.000698024,1.03375e-06,675.237,15,31,4.5976e-07,4.13166e-12,0.0707216,0
S,1,4,0,BOYD1,17784.5,0.000288078,-6.17174e+07,450,16985,0.00117649,0.0024683,600.765,18
K,0,4,0,BOYD2,39.5604,1.86108,60.8172,206,7265,0.0260267,8.76099,602.803,0
S,1,0,0,CONT-050,1.29833e-06,2.84481e-07,-4.56385,66,310,8.45948e-07,5.0552e-08,1.65408,0
S,1,0,0,CONT-100,2.19115e-05,4.71783e-06,-4.64438,74,500,9.11144e-07,4.76502e-08,19.8651,0
S,1,0,0,CONT-101,5.47938e-05,0.000280236,0.195582,91,1088,9.84527e-07,1.73787e-07,36.9305,0
S,1,0,0,CONT-200,0.000305593,6.52297e-05,-4.68457,86,1071,8.74854e-07,4.9809e-08,266.605,0
S,1,0,0,CONT-201,0.000675171,0.00350768,0.193159,104,1701,9.83733e-07,5.38874e-07,387.388,0
