System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
S,1,0,0,AUG2D,249.724,0.000147993,1.68716e+06,41,61,6.3291e-05,3.24976e-06,12.051,0
S,1,0,0,AUG2DC,306.606,0.000168616,1.81806e+06,47,48,7.18748e-05,2.88977e-10,8.49768,0
S,1,0,0,AUG2DCQP,495.922,7.63177e-05,6.49764e+06,43,100,6.25391e-05,4.68781e-06,31.4729,0
S,1,0,0,AUG2DQP,380.273,6.09704e-05,6.23663e+06,43,92,4.99171e-05,8.56751e-09,29.1311,0
S,1,0,0,AUG3D,0.0779329,0.000140656,553.99,6,7,8.04216e-05,1.24091e-05,0.228061,0
S,1,0,0,AUG3DC,0.0969624,0.000125719,771.165,7,8,7.43902e-05,3.74007e-08,0.259302,0
S,1,0,0,AUG3DCQP,0.0533999,5.37567e-05,993.309,18,29,5.21401e-05,3.59744e-06,0.956899,0
S,1,0,0,AUG3DQP,0.0687397,0.000101801,675.169,15,25,9.82902e-05,1.93237e-12,0.960407,0
S,1,4,0,BOYD1,254664,0.00412511,-6.14806e+07,89,1639,0.000668248,5.587e-05,1207.33,0
K,0,4,0,BOYD2,42.4087,1.99507,63.6655,78,1497,0.00018316,0.000312654,1208.06,0
S,0,0,0,CONT-050,0.247863,0.0543101,-4.31599,48,97,9.95063e-05,2.53523e-06,6.43074,0
S,0,0,0,CONT-100,0.874152,0.188217,-3.77025,57,150,7.58745e-05,3.5465e-06,77.7375,0
S,0,0,0,CONT-101,0.0258353,0.132131,0.221363,75,294,9.93302e-05,1.93491e-06,164.469,0
S,0,0,0,CONT-200,1.49386,0.318869,-3.19101,63,162,8.37098e-05,8.5951e-07,488.063,0
S,0,4,0,CONT-201,0.238141,1.2372,-0.0456573,59,373,0.00112217,8.87197e-11,1252.84,0
S,0,4,0,CONT-300,0.192256,1.00388,-0.000743825,38,165,0.00142804,5.79539e-05,1245.07,0
S,0,3,1,CVXQP1L,1.08705e+08,0.999999,70.5582,1,104,394.091,0,96.063,14
S,0,4,0,CVXQP1M,49413.7,0.0454374,1.0381e+06,73,1116,0.0189107,0.00105098,1268.12,10
S,1,0,0,CVXQP1S,1.55782,0.000134402,11589.2,72,274,9.52419e-05,1.0553e-05,1.64473,4
S,0,3,1,CVXQP2L,8.18424e+07,1,11.3348,1,88,104.281,0,87.7017,16
S,1,4,0,CVXQP2M,8.41008,1.02543e-05,820147,130,3292,0.000219175,0.00043828,1204.47,7
S,1,0,0,CVXQP2S,0.162224,1.9976e-05,8120.78,47,114,8.51944e-05,7.30382e-06,0.598884,0
S,0,3,1,CVXQP3L,1.15711e+08,0.999998,219.755,2,134,1636.54,0,158.068,15
S,0,4,0,CVXQP3M,267746,0.196464,1.09508e+06,72,1036,0.0211008,0.000827701,1235.97,10
S,1,0,0,CVXQP3S,0.735328,6.15676e-05,11942.7,1709,68717,9.99963e-05,2.55393e-06,390.158,331
S,1,0,0,DPKLO1,0.000405559,0.00109582,0.369691,6,8,6.0413e-05,2.97601e-06,0.0347193,0
S,0,0,0,DTOC3,3.62816,0.0154218,231.634,168,5311,9.79607e-05,9.21891e-05,421.721,0
S,1,0,0,DUAL1,1.43458e-05,0.000409729,0.0349986,10,18,8.19924e-05,2.27884e-11,0.182778,0
S,1,0,0,DUAL2,6.62371e-06,0.000196353,0.0337271,8,13,9.03455e-05,3.72557e-06,0.142609,0
S,1,0,0,DUAL3,1.83733e-05,0.000135341,0.135737,18,28,9.03465e-05,5.48399e-07,0.48176,0
S,1,0,0,DUAL4,0.000178992,0.000239906,0.745912,65,66,9.65871e-05,2.64471e-06,0.448402,0
K,1,0,0,DUALC1,6.60649,0.00107331,6148.64,60,162,9.40712e-05,1.78691e-05,0.104013,0
K,1,0,0,DUALC2,0.239471,6.74318e-05,3551.55,26,65,4.39844e-05,8.91459e-05,0.0405051,0
K,1,0,0,DUALC5,0.00152551,3.57067e-06,427.231,28,110,9.63635e-05,2.13325e-05,0.0593218,0
K,1,0,0,DUALC8,0.207917,1.13558e-05,18309.2,56,1338,8.51517e-05,2.39244e-05,0.994149,0
K,1,4,0,EXDATA,0.0120543,8.49834e-05,-141.831,44,225,0.000170444,5.85101e-08,1210.83,0
S,1,0,0,GENHS28,9.58223e-05,0.000103349,0.927078,4,5,3.10883e-05,1.14021e-05,0.0042013,0
S,1,0,0,GOULDQP2,5.66021e-05,0.30716,0.000240877,8,14,9.87024e-05,5.9463e-14,0.151157,0
S,1,0,0,GOULDQP3,4.28106e-05,2.07538e-05,2.06274,17,29,9.48904e-05,4.34819e-06,0.443325,0
K,1,0,0,HS118,4.19256e-05,6.3063e-08,664.82,27,101,1.61233e-05,1.97698e-05,0.0179395,0
S,1,0,0,HS21,8.04859e-07,8.05181e-09,-99.96,4,6,6.363e-05,2.56459e-15,0.0025937,0
S,1,0,0,HS268,0.000116789,203.783,-0.000116216,32,66,9.89692e-05,6.18559e-06,0.0063593,0
S,1,0,0,HS35,2.50152e-05,0.000225137,0.111086,5,6,1.20756e-05,1.0979e-06,0.0035609,0
S,1,0,0,HS35MOD,5.63669e-05,0.000225468,0.249944,8,19,4.51263e-05,1.95993e-05,0.0042981,0
S,1,0,0,HS51,0.000389259,4.38267e+11,-0.000389259,6,7,5.62433e-05,2.64836e-06,0.0039089,0
S,1,0,0,HS52,0.0013862,0.000260239,5.32526,12,13,9.91508e-05,9.43355e-06,0.0057088,0
S,1,0,0,HS53,0.000478982,0.000117024,4.09254,10,11,4.91962e-05,4.65034e-06,0.0321514,0
S,1,0,0,HS76,8.17191e-06,1.74546e-06,-4.68181,7,14,6.58046e-06,9.21952e-06,0.0073171,0
S,1,0,0,HUES-MOD,226.127,6.49328e-06,3.48245e+07,73,308,8.15738e-05,7.3148e-06,7.263,0
S,1,0,0,HUESTIS,2.26137e+06,6.49358e-06,3.48245e+11,14,29,3.97499e-05,1.02627e-05,0.697736,0
K,1,0,0,KSIP,5.73268e-05,9.95606e-05,0.575741,32,48,9.30305e-05,4.22533e-06,0.388758,0
S,1,0,0,LASER,1.21525,5.04336e-07,2.4096e+06,24,45,5.91417e-05,1.41093e-05,0.802274,0
S,0,0,0,LISWET1,11.1233,0.307934,24.9991,63,119,9.75719e-05,2.28948e-06,7.47712,0
S,0,0,0,LISWET10,24.4871,0.494831,24.9987,52,94,9.70912e-05,4.31779e-06,5.86774,0
S,0,0,0,LISWET11,24.5279,0.495274,24.996,64,125,9.95279e-05,1.40477e-06,7.70633,0
S,0,0,0,LISWET12,1711.93,0.985609,24.9958,62,116,9.90127e-05,7.87097e-06,7.75246,0
S,1,0,0,LISWET2,0.00397285,0.000158926,24.9941,51,92,9.8725e-05,1.23369e-05,5.5685,0
S,1,0,0,LISWET3,0.00386103,0.000154434,24.9974,48,87,9.92202e-05,5.76552e-06,5.20674,0
S,1,0,0,LISWET4,0.00389269,0.000155707,24.9962,50,91,9.97806e-05,6.09627e-06,5.46154,0
S,1,0,0,LISWET5,0.00379388,0.000151548,25.0305,54,91,9.7763e-05,1.21891e-05,5.53481,0
S,1,0,0,LISWET6,0.00382432,0.000152999,24.9919,50,88,9.76607e-05,1.40237e-05,5.39693,0
S,0,0,0,LISWET7,473.842,0.949886,24.999,51,91,9.87306e-05,1.23321e-05,5.57999,0
S,0,0,0,LISWET8,7119.7,0.996501,24.999,64,123,9.85427e-05,2.57786e-06,7.92885,0
S,0,0,0,LISWET9,1938.25,0.987267,24.9989,61,115,9.9291e-05,7.22007e-06,7.47076,0
S,1,0,0,LOTSCHD,0.00768356,3.2036e-06,2398.41,22,45,7.36658e-05,5.72801e-06,0.0108565,0
S,1,0,0,MOSARQP1,0.00130171,1.36609e-06,-952.877,23,35,9.49747e-05,5.25225e-06,1.18787,0
S,1,0,0,MOSARQP2,0.0234888,1.47036e-05,-1597.51,17,29,9.14389e-05,7.61751e-06,0.42664,0
S,1,0,0,POWELL20,1.84128e+06,3.53483e-05,5.20877e+10,7932,33783,9.9981e-05,8.11977e-08,1065.25,0
S,1,0,0,PRIMAL1,3.31955e-06,9.48091e-05,-0.0350096,4,9,1.9105e-05,1.99702e-06,0.0588951,0
S,1,0,0,PRIMAL2,1.01745e-06,3.01614e-05,-0.0337327,3,9,5.44727e-06,1.07696e-05,0.0844492,0
S,1,0,0,PRIMAL3,8.37442e-06,6.16874e-05,-0.135764,2,16,4.11446e-05,0.000186358,0.244849,0
S,1,0,0,PRIMAL4,4.52397e-06,6.06356e-06,-0.746095,2,22,6.37129e-05,1.40833e-06,0.251456,0
S,1,0,0,PRIMALC1,0.00342236,5.56007e-07,-6155.25,76,321,8.43323e-05,7.53895e-06,0.171459,0
S,1,0,0,PRIMALC2,0.0256403,7.21997e-06,-3551.33,57,201,9.29531e-05,1.35538e-05,0.104341,0
S,1,0,0,PRIMALC5,0.0292775,6.85283e-05,-427.262,33,306,1.38244e-05,4.04195e-05,0.23146,0
S,1,0,0,PRIMALC8,0.000420351,2.29582e-08,-18309.4,245,789,9.9662e-05,7.7023e-07,1.07232,0
S,1,4,0,Q25FV47,287.79,2.09387e-05,1.37442e+07,793,14368,0.00583723,9.40083e-08,1201.56,569
S,1,0,0,QADLITTL,0.221773,4.61719e-07,480319,45,159,5.48726e-05,5.91311e-06,0.285036,1
S,1,0,0,QAFIRO,0.000497747,0.000312894,-1.59028,16,58,6.95935e-05,2.7037e-05,0.0345282,0
S,1,0,0,QBANDM,0.0501305,3.06565e-06,16352.4,52,191,9.96176e-05,4.12269e-06,3.1307,0
S,1,0,0,QBEACONF,31.5931,0.000191808,164744,73,266,5.04495e-05,8.51742e-05,1.54766,0
S,1,0,0,QBORE3D,26.7857,0.00863999,3126.99,48,175,2.22117e-05,5.66818e-06,1.995,0
S,1,0,0,QBRANDY,0.124545,4.38923e-06,28375.2,46,198,7.76588e-05,0.000138847,2.00494,0
S,0,4,0,QCAPRI,1.24226e+07,0.185986,5.43707e+07,12828,270594,0.512963,5.76696e-08,1200.05,10417
S,1,0,0,QE226,0.165838,0.00077985,212.819,45,201,8.3482e-05,1.48268e-05,2.7578,0
S,0,4,0,QETAMACR,3056.74,0.035232,83703.6,2937,124356,0.00734992,3.72713e-05,1200.22,1134
S,1,4,0,QFFFFF80,53.0608,6.07696e-05,873201,8510,95805,0.0019643,9.81904e-08,1200.01,3580
S,0,3,1,QFORPLAN,4.74076e+08,0.0635777,6.98256e+09,218,4278,8.91143,1.22161e-06,24.3982,179
S,1,4,0,QGFRDXPN,5.89854e+06,5.85227e-05,1.00785e+11,7859,90102,0.415547,9.71939e-08,1200.17,6380
S,1,0,0,QGROW15,1829.69,1.79922e-05,-1.01692e+08,370,6509,2.79544e-05,1.3296e-05,93.7305,54
S,1,0,0,QGROW22,2620.88,1.75159e-05,-1.49626e+08,280,4152,3.15192e-05,1.97794e-05,93.1788,23
S,1,4,0,QGROW7,166352,0.00388686,-4.26324e+07,6057,180808,0.0428728,2.24002e-07,1200.13,2351
K,1,0,0,QISRAEL,105.247,4.1521e-06,2.53479e+07,84,356,8.36268e-05,5.87393e-07,1.11593,0
S,1,0,0,QPCBLEND,0.000825087,0.105207,-0.00866763,41,86,9.58388e-05,1.24768e-05,0.116048,0
S,1,0,0,QPCBOEI1,1.30115,1.13105e-07,1.15039e+07,56,163,7.90557e-05,1.06777e-05,0.663683,0
K,1,0,0,QPCBOEI2,564.051,6.90228e-05,8.1714e+06,11119,64753,9.99678e-05,9.39901e-08,93.6178,3374
S,1,0,0,QPCSTAIR,135.729,2.18763e-05,6.20425e+06,162,267,8.60165e-05,5.52519e-07,3.13974,0
S,1,4,0,QPILOTNO,2389.27,0.000505282,4.73098e+06,2132,32909,0.0340098,5.9366e-08,1200.33,1694
S,1,0,0,QPTEST,0.000547269,0.000125179,4.37133,5,6,7.12147e-05,8.88111e-06,0.00406,0
S,1,0,0,QRECIPE,3.06565e-05,1.14984e-07,-266.616,40,87,1.51981e-05,3.11387e-06,0.139426,0
K,1,0,0,QSC205,0.000166305,0.0286045,-0.00564765,39,146,7.00133e-05,1.04925e-06,0.367608,0
S,1,0,0,QSCAGR25,22.9801,1.13911e-07,2.01738e+08,100,1977,4.07169e-05,7.25025e-06,10.0867,23
S,1,0,0,QSCAGR7,106.189,3.95254e-06,2.68661e+07,53,673,8.8268e-05,5.89609e-05,0.986051,8
S,1,4,0,QSCFXM1,228.566,1.35385e-05,1.68829e+07,13463,201721,0.00147714,9.53946e-08,1200.03,6686
S,1,4,0,QSCFXM2,17715.2,0.000637784,2.77584e+07,3699,75566,0.0202875,7.73321e-08,1200.22,2990
S,1,4,0,QSCFXM3,44786.9,0.00145335,3.07716e+07,2659,49335,0.0292236,9.78038e-08,1200.14,2113
K,1,0,0,QSCORPIO,0.267287,0.000142135,1880.24,80,144,9.94546e-05,1.43552e-05,0.814684,0
S,1,0,0,QSCRS8,0.000307431,3.39868e-07,904.56,69,485,9.64974e-07,3.19185e-05,12.7473,7
S,1,0,0,QSCSD1,0.000100588,1.16063e-05,8.66677,30,68,2.52163e-05,4.81728e-05,1.62878,0
S,1,0,0,QSCSD6,0.0186322,0.000366717,50.7896,40,119,7.60155e-05,8.59076e-08,5.22309,0
S,1,0,0,QSCSD8,0.00190517,2.02513e-06,940.762,37,193,9.40954e-05,5.69979e-08,18.5015,0
S,1,0,0,QSCTAP1,0.0288197,2.03549e-05,1415.89,47,189,1.6506e-05,1.6202e-07,2.88172,0
S,1,0,0,QSCTAP2,0.000981252,5.65554e-07,1735.03,24,64,1.97458e-05,1.21234e-06,5.22968,0
S,1,0,0,QSCTAP3,0.000790046,5.49118e-07,1438.75,35,98,8.41923e-05,4.25604e-06,10.0628,0
S,0,3,1,QSEBA,3.02254e+07,0.370947,5.12564e+07,349,6898,5.12961,1.97172e-07,193.304,254
S,1,0,0,QSHARE1B,117.748,0.000163521,720196,37469,344230,9.97734e-05,4.91405e-07,331.322,15268
K,1,0,0,QSHARE2B,1.02279,8.73905e-05,11702.7,88,1645,6.36977e-05,1.75388e-05,2.29091,4
S,0,3,1,QSHELL,2.85047e+11,0.181254,1.28759e+12,135,2380,229.347,6.68058e-06,254.353,97
S,1,0,0,QSHIP04L,6.17525,2.55174e-06,2.42001e+06,126,1015,5.78172e-06,4.36487e-05,35.179,62
S,1,4,0,QSHIP04S,139.371,5.74727e-05,2.42485e+06,1215,67329,0.000105753,7.44368e-05,1201.07,3094
S,1,3,0,QSHIP08L,160.667,6.76197e-05,2.37588e+06,894,25056,0.0044993,2.77265e-07,1123.24,301
S,1,3,0,QSHIP08S,101.224,4.2429e-05,2.38563e+06,282,1106,0.00786161,3.51959e-07,180.591,229
S,1,3,0,QSHIP12L,566.992,0.000187816,3.01831e+06,317,5339,0.0103295,1.14336e-07,986.73,272
S,1,4,0,QSHIP12S,475.313,0.000155485,3.05649e+06,2665,15271,0.00516505,8.95094e-08,1200.12,2150
S,1,0,0,QSIERRA,41.726,1.75685e-06,2.37505e+07,45,228,9.40988e-05,0.000188316,14.3878,4
S,1,4,0,QSTAIR,465.303,5.82689e-05,7.98499e+06,2678,140856,0.0115122,3.85193e-07,1200.98,1724
S,1,0,0,QSTANDAT,0.198652,3.09821e-05,6411.64,38,120,4.81628e-05,1.61894e-07,3.91795,0
S,1,0,0,S268,0.000116789,203.783,-0.000116216,32,66,9.89692e-05,6.18559e-06,0.0085002,0
K,0,4,0,STADAT1,1.96159e+07,0.687629,-8.91096e+06,1368,52488,0.00810772,0.00872469,1200.52,0
K,0,4,0,STADAT2,22.2045,0.680562,-10.4222,1720,65659,0.00153871,0.00611326,1200.73,0
K,0,0,0,STADAT3,35.6941,0.997614,-0.0853791,85,2644,9.30427e-05,0.000163538,96.8214,0
S,0,4,0,STCQP1,1588.21,0.010237,153555,33,62,0.0118188,2.07568e-06,1205.32,0
S,1,0,0,STCQP2,1.55539,6.96631e-05,22325.8,53,98,9.56032e-05,4.98162e-06,413.837,0
S,1,0,0,TAME,2.50079e-11,inf,2.50079e-11,3,4,2.11354e-05,3.45146e-11,0.0033368,0
S,0,0,0,UBH1,17.9615,16.0945,19.0775,217,1115,9.99526e-05,1.07393e-07,120.958,0
S,0,0,0,VALUES,0.0851888,0.0609964,-1.31143,14,35,8.70183e-05,8.97612e-12,0.196278,0
S,0,4,0,YAO,190.059,0.961328,7.64566,2805,104215,0.000902283,0.00256381,1200.23,0
S,1,0,0,ZECEVIC2,4.64856e-05,1.12692e-05,-4.12505,5,6,2.32428e-05,2.74721e-06,0.0054655,0
