name,ssn_solved,ssn_time,ssn_iters,ssn_status,ssn_obj,qpalm_solved,qpalm_time,qpalm_iters,qpalm_status,qpalm_obj,osqp_solved,osqp_time,osqp_iters,osqp_status,osqp_obj
AUG2D,1,0.40358129143714905,83,0,1687408.4206497604,1,0.08177604153752327,16,1,1677451.6548751993,1,0.05117812566459179,50,1,1677511.3290552208
AUG2DC,1,0.27856041584163904,37,0,1818366.0080810853,1,0.08106133341789246,16,1,1808267.7914470825,1,0.049744666554033756,50,1,1808267.2039653806
AUG2DCQP,1,1.6352042499929667,144,0,6498119.845377379,1,0.2620559995993972,47,1,6487968.499224074,1,1.2357288748025894,1700,1,6488037.006966587
AUG2DQP,1,1.7232539169490337,109,0,6237007.970203423,1,0.3247589999809861,57,1,6227067.414828271,1,1.1166536258533597,1525,1,6227112.320279438
AUG3D,1,0.011169667355716228,7,0,554.067376758423,1,0.012072375044226646,10,1,-782.433172613789,1,0.010501415468752384,50,1,-782.4322742195347
AUG3DC,1,0.01284533366560936,8,0,771.262222942139,1,0.01801962498575449,16,1,-1165.2379103693238,1,0.010280207730829716,50,1,-1165.2375613543259
AUG3DCQP,1,0.05271483398973942,41,0,993.3610359434169,1,0.04547575023025274,35,1,-943.1378599380864,1,0.018568165600299835,100,1,-943.137988596528
AUG3DQP,1,0.0651283748447895,31,0,675.2370110916299,1,0.04836170934140682,35,1,-661.2623526416307,1,0.017753583379089832,100,1,-661.2623283874609
BOYD1,0,60.04401266667992,3156,4,-61716843.58055428,1,3.2030754582956433,156,1,-61735218.69934834,0,60.011908499524,15557,8,-61734993.86581103
BOYD2,0,60.1043985420838,40,4,57.38819131109133,0,60.00391895882785,3974,-5,21.262486075734707,0,60.011864041909575,17372,8,349233.8243643851
CONT-050,1,0.34325454197824,164,0,-4.563849677874458,1,0.02636862453073263,11,1,-4.56385048122636,1,0.454390000551939,1775,1,-4.563851392513337
CONT-100,1,3.199224792420864,225,0,-4.644384288784045,1,0.6573070846498013,33,1,-4.644415521097686,1,11.579713792540133,8625,1,-4.644399705259209
CONT-101,1,9.811715667136014,407,0,0.1955883712411277,1,3.132479458115995,123,1,0.19529107611552288,1,15.845342790707946,10925,1,0.19552935040573538
CONT-200,1,23.457481958903372,270,0,-4.684490237701642,1,1.6462804581969976,15,1,-4.685169773951925,0,60.183496500365436,7150,8,-3.168166638852468
CONT-201,0,61.67027441691607,255,4,-0.028274322916633662,0,60.3455372499302,252,-5,0.11631954247156265,0,60.006225291639566,7196,8,1.8094275946778144
CONT-300,0,61.5871325423941,114,4,-0.0005683352150035334,0,60.857531709596515,45,-5,-0.0999150082417476,0,60.03226220887154,2532,8,7.064823745216593
CVXQP1L,0,216.5130270421505,3,4,3939.0198649249287,0,60.87144941743463,136,-5,108653798.55678344,1,55.95313941594213,8400,1,108704777.01418243
CVXQP1M,0,60.11626866552979,2894,4,1062463.0679501998,1,0.1440058322623372,80,1,1087510.493655371,1,0.09341950062662363,625,1,1087511.554541954
