agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
0,3,0,QGROW7,1.85568e+06,0.0433582,-4.0943e+07,100,332,0.0790971,3.85792e-05,2.69268
1,2,0,QISRAEL,196766,0.00776263,2.51511e+07,82,500,11.6747,0.817175,1.92963
1,0,0,QPCBLEND,2.22436e-07,2.83627e-05,-0.00784276,59,102,6.02554e-05,1.96289e-08,0.115443
1,0,0,QPCBOEI1,28.3616,2.46539e-06,1.15039e+07,67,200,9.5644e-05,0.00837936,0.986344
1,3,0,QPCBOEI2,9900.98,0.00121158,8.16206e+06,100,447,0.108293,0.00155772,0.777541
1,0,0,QPCSTAIR,0.0237889,3.83421e-09,6.20439e+06,34,132,8.29111e-05,9.56659e-07,1.07479
1,2,1,QPILOTNO,3909.59,0.000826798,4.7325e+06,21,514,3071.6,37846.2,45.2939
1,0,0,QPTEST,4.40492e-06,1.00756e-06,4.37188,21,13,2.43785e-05,6.25199e-06,0.0076337
1,0,0,QRECIPE,1.18604e-05,4.4485e-08,-266.616,41,83,4.57717e-05,2.36893e-06,0.255737
1,0,0,QSC205,1.04653e-07,1.80004e-05,-0.00581406,29,55,6.48729e-05,2.92413e-13,0.293263
1,0,0,QSCAGR25,4.16421,2.06417e-08,2.01738e+08,27,282,9.62066e-05,0.0616557,3.01481
1,0,0,QSCAGR7,0.894666,3.33011e-08,2.68659e+07,28,164,2.19051e-05,0.0683768,0.373549
0,2,0,QSCFXM1,338556,0.0200534,1.65441e+07,23,508,2508.84,3062.07,5.85146
0,2,1,QSCFXM2,1.27972e+06,0.0460726,2.64964e+07,21,522,2876.43,1.75363e+06,13.338
0,2,1,QSCFXM3,2.45877e+06,0.0797879,2.83576e+07,19,515,2685.9,583840,19.4724
1,0,0,QSCORPIO,0.250231,0.000133066,1880.26,47,293,9.59755e-05,0.000886982,2.03439
1,0,0,QSCRS8,0.00595203,6.58003e-06,904.566,38,465,1.61968e-05,0.026459,9.16857
1,0,0,QSCSD1,0.0013995,0.00016148,8.66807,30,70,4.5826e-05,1.939e-09,0.827162
