System,infeas_detected,opt_status,name,pmm_iter,ssn_iter,krylov_iter,fact,pmm_res,ssn_res,solving_time_sec,linesearch_fail
S,1,-2,BGDBG1,32,155,1988,83,1e+20,1e+20,0.0378943,0,0
S,1,-2,BGETAM,50,448,13532,188,1e+20,1e+20,0.252812,0,0
S,1,-2,BGINDY,92,2817,134589,1511,1e+20,1e+20,19.9574,0,0
S,1,-2,BGPRTR,37,237,825,42,1e+20,1e+20,0.00199279,0,0
S,1,-2,BOX1,4,10,278,10,1e+20,1e+20,0.00176183,0,0
S,1,-2,CERIA3D,2,20,73,20,1e+20,1e+20,0.0378823,0,0
S,1,-2,CHEMCOM,43,558,20707,180,1e+20,1e+20,0.196412,0,0
S,1,-2,CPLEX1,122,3138,45596,1915,1e+20,1e+20,7.48171,0,0
S,0,0,CPLEX2,21,91,514,55,9.12649e-08,4.38251e-07,0.0149632,0,0
S,1,-2,EX72A,4,21,873,21,1e+20,1e+20,0.00445708,0,0
S,1,-2,EX73A,4,19,792,19,1e+20,1e+20,0.00393613,0,0
S,1,-2,GALENET,44,203,338,6,1e+20,1e+20,0.00227,0,0
L,0,4,GOSH,145,3470,22670,3444,0.000785074,1.03986e-06,60.2647,0,1
L,1,-2,GRAN,27,535,100,291,1e+20,1e+20,1.14375,0,1
L,1,-2,GREENBEA,173,4386,100,4383,1e+20,1e+20,29.3017,0,1
S,1,-2,ITEST2,0,3,8,3,1e+20,1e+20,8.0958e-05,0,0
S,1,-2,ITEST6,35,117,359,3,1e+20,1e+20,0.000987666,0,0
S,0,0,KLEIN1,34,343,3414,122,9.76007e-07,1.05056e-08,0.0354193,0,4
S,1,-2,KLEIN2,14,78,2189,48,1e+20,1e+20,0.0331405,0,8
S,0,0,KLEIN3,27,245,4523,114,8.59775e-07,3.67457e-06,0.168692,0,20
S,1,-2,MONDOU2,3,48,1457,48,1e+20,1e+20,0.0189958,0,0
S,1,-2,PANG,42,577,12464,199,1e+20,1e+20,0.234446,0,0
S,1,-2,PILOT4I,54,1115,40600,492,1e+20,1e+20,1.67753,0,0
S,1,-2,QUAL,47,620,7806,450,1e+20,1e+20,0.228484,0,0
S,1,-2,REACTOR,43,720,38236,382,1e+20,1e+20,0.338125,0,0
S,1,-2,REFINERY,11,210,3996,210,1e+20,1e+20,0.101454,0,0
S,1,-2,VOL1,43,565,7101,415,1e+20,1e+20,0.208828,0,0
S,1,-2,WOODINFE,9,57,295,53,1e+20,1e+20,0.00151775,0,0
