name,ssn_solved,ssn_time,ssn_iters,ssn_status,ssn_obj,qpalm_solved,qpalm_time,qpalm_iters,qpalm_status,qpalm_obj,osqp_solved,osqp_time,osqp_iters,osqp_status,osqp_obj
AUG2D,1,0.14312845841050148,48,0,1687408.514487552,1,0.08383683394640684,16,1,1677451.6548751993,1,0.05322695802897215,50,1,1677511.3290552208
AUG2DC,1,0.08108179178088903,19,0,1818364.1176918112,1,0.08600145857781172,16,1,1808267.7914470825,1,0.05053354147821665,50,1,1808267.2039653806
AUG2DCQP,1,0.5749337505549192,38,0,6498127.057155261,1,0.26790887489914894,47,1,6487968.499224074,1,1.2180224154144526,1700,1,6488037.006966587
AUG2DQP,1,0.7065077498555183,49,0,6237005.895670746,1,0.4100473327562213,57,1,6227067.414828271,1,1.1795220412313938,1525,1,6227112.320279438
AUG3D,1,0.007485332898795605,8,0,554.0670798286669,1,0.013861209154129028,10,1,-782.433172613789,1,0.010738999582827091,50,1,-782.4322742195347
AUG3DC,1,0.00708070769906044,9,0,771.2612124594216,1,0.0179023751989007,16,1,-1165.2379103693238,1,0.012916207313537598,50,1,-1165.2375613543259
AUG3DCQP,1,0.060277292504906654,39,0,993.3604748242628,1,0.04919283278286457,35,1,-943.1378599380864,1,0.01796487532556057,100,1,-943.137988596528
AUG3DQP,1,0.06343533378094435,39,0,675.2364264195503,1,0.04584629088640213,35,1,-661.2623526416307,1,0.017204624600708485,100,1,-661.2623283874609
BOYD1,0,60.088433125056326,1938,4,-61731613.3266429,1,3.219120666384697,156,1,-61735218.69934834,0,60.00915354117751,15317,8,-61734984.405507304
BOYD2,0,77.11374462489039,28,4,55.283185846432595,0,60.0085269594565,3906,-5,21.25105549746712,0,60.01611116621643,17313,8,350816.82449598465
CONT-050,1,0.14882687479257584,32,0,-4.563849251400574,1,0.02775754127651453,11,1,-4.56385048122636,1,0.4611800415441394,1775,1,-4.563851392513337
CONT-100,1,1.1831412082538009,40,0,-4.6443893404532535,1,0.6630514999851584,33,1,-4.644415521097686,1,11.75694770924747,8625,1,-4.644399705259209
CONT-101,1,9.152419249527156,237,0,0.19554527001041766,1,3.204783083871007,123,1,0.19529107611552288,1,16.137368542142212,10925,1,0.19552935040573538
CONT-200,1,9.836859500035644,100,0,-4.684860895925241,1,1.654139875434339,15,1,-4.685169773951925,0,60.01093420851976,7051,8,-3.174490503908819
CONT-201,0,61.45197866670787,218,4,-0.016684962988837263,0,60.005537499673665,246,-5,-0.05787413727142697,0,60.008441667072475,7112,8,1.8077898406452952
CONT-300,0,63.64737529121339,98,4,-0.0013823506455611244,0,60.902536124922335,45,-5,-0.0999150082417476,0,60.015128249302506,2527,8,7.065507810086391
CVXQP1L,0,60.71036887448281,29,4,34995994.518862985,0,60.70884595811367,136,-5,108653798.55678344,1,55.87933270819485,8400,1,108704777.01418243
CVXQP1M,0,60.09421974979341,3179,4,1055356.2603473938,1,0.14802466612309217,80,1,1087510.493655371,1,0.09521966706961393,625,1,1087511.554541954
CVXQP1S,1,3.514293291606009,66722,0,11590.701463654164,1,0.0011254996061325073,37,1,11590.718060485195,1,0.0022614169865846634,425,1,11590.717496574516
CVXQP2L,0,60.06014216598123,54,4,43779469.29170301,1,40.04564124997705,113,1,81842458.0463713,1,9.028537250123918,1650,1,81842458.26015085
CVXQP2M,0,60.036937249824405,10156,4,820139.3987453055,1,0.0900445831939578,60,1,820155.4131144702,1,0.02425420843064785,175,1,820155.4302829508
CVXQP2S,1,0.04558624979108572,353,0,8120.942073726028,1,0.0008667502552270889,35,1,8120.940202582617,1,0.0007571671158075333,75,1,8120.9404799686345
CVXQP3L,0,67.4781395001337,32,4,64439486.684352495,0,60.6076517496258,98,-5,115458702.70602618,0,60.006724749691784,8021,2,115710654.89087209
CVXQP3M,0,60.07434858288616,2340,4,1113170.4223054051,1,0.2172210831195116,113,1,1362828.3891311693,1,0.47192691732198,3000,1,1362828.7028892862
CVXQP3S,1,11.579459249973297,69332,0,11943.420006009896,1,0.0013682916760444641,39,1,11943.432069999924,1,0.0009106248617172241,100,1,11943.431057830818
DPKLO1,1,0.0014976663514971733,11,0,0.37009465105439365,1,0.0014612087979912758,16,1,0.3700956934578646,1,0.0010964581742882729,50,1,0.37009621720634406
DTOC3,1,11.423650458455086,4821,0,235.23252372444728,1,0.25485662557184696,126,1,235.25594524888942,0,60.00132449995726,147299,2,235.26347021923922
DUAL1,1,0.007622166536748409,15,0,0.03501284482189688,1,0.001530165784060955,21,1,0.035012946828452435,1,0.0011952081695199013,50,1,0.0350129660096062
DUAL2,1,0.007909166626632214,43,0,0.0337336312654405,1,0.0011723749339580536,13,1,0.03373367841103344,1,0.0009800828993320465,50,1,0.03373367619184395
DUAL3,1,0.019981165416538715,32,0,0.13575570283428964,1,0.0017248746007680893,15,1,0.13575574835334817,1,0.0016638748347759247,50,1,0.13575583620789974
DUAL4,1,0.016779333353042603,116,0,0.7460896143401745,1,0.0008308328688144684,15,1,0.746090432363693,1,0.0006947498768568039,50,1,0.7460908274281847
DUALC1,1,0.0055695828050374985,157,0,5996.304413919608,1,0.0005803750827908516,23,1,6138.272441608012,1,0.003513708710670471,700,1,6155.206621109025
DUALC2,1,0.0011656666174530983,30,0,3551.320233610176,1,0.00040949974209070206,15,1,3550.8232574552844,1,0.0015185829252004623,275,1,3551.3114210176377
DUALC5,1,0.00751708447933197,250,0,427.23148026795167,1,0.00034195929765701294,8,1,426.5879814024128,1,0.0009463746100664139,75,1,427.2323132275329
DUALC8,1,0.03016504179686308,576,0,18307.719940235358,1,0.0008836248889565468,16,1,18304.442542577093,1,0.0012196674942970276,75,1,18309.355283092387
EXDATA,0,79.68500704038888,36,4,-111.32015824233139,1,5.538528624922037,260,1,-141.84343218931332,1,3.5258319163694978,1150,1,-141.84342941699765
GENHS28,1,0.0005356250330805779,6,0,0.9271733306617918,1,7.44163990020752e-05,6,1,0.9271741307488796,1,0.00019295979291200638,50,1,0.9271736946246533
GOULDQP2,1,0.03333358280360699,78,0,0.00018737654829043508,1,0.0071419160813093185,39,1,0.00018426838465668575,1,0.03970650024712086,2175,1,0.00018427067682943185
GOULDQP3,1,0.034424916841089725,37,0,2.0627869685304177,1,0.018121832981705666,33,1,-29647.83721752834,1,0.011425083503127098,50,1,-29647.837216027085
HS118,1,0.0011466657742857933,88,0,664.8204500536863,1,0.00018362514674663544,31,1,664.8204414358344,1,0.0004928745329380035,675,1,664.8204396149034
