agree,name,abs_agree,abs_err,rel_agree,rel_err,opt_status,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
0,PRIMALC1,0,1448.49,0,0.307748,2,-4706.76,89,1000,1.71142,2.04491,0.588318
0,PRIMALC2,0,4858.87,0,3.71598,2,1307.56,90,1001,5.71155,0.0024548,0.605975
0,PRIMALC5,0,465.557,0,12.1478,2,38.3242,89,1007,0.904993,1.15684e-06,1.04844
0,PRIMALC8,0,279.933,0,0.0155264,2,-18029.5,96,1006,1.24181,12.9463,1.21939
1,QADLITTL,0,41.915,1,8.72726e-05,2,480277,91,1004,1.06754,2.34169,1.5606
1,QAFIRO,1,4.05707e-07,1,2.55036e-07,0,-1.59078,21,60,8.69601e-08,3.95778e-07,0.024109
1,QBANDM,0,0.0520839,1,3.18509e-06,2,16352.4,90,1004,0.000108547,2.44358e-07,11.333
0,QBEACONF,0,2382.78,0,0.01426,2,167095,83,1009,0.00146858,1.65364e-06,8.11514
0,QBORE3D,0,5.33383,0,0.00171752,1,3105.53,100,874,1.52636e-05,0.0089222,5.60384
1,QBRANDY,0,0.000693584,1,2.44434e-08,2,28375.1,91,1006,0.28934,6.84577,7.49265
0,QCAPRI,0,6.5346e+06,0,0.108442,2,6.02587e+07,77,1009,2.20833e+06,144212,12.8248
1,QE226,1,4.09371e-06,1,1.92506e-08,0,212.653,52,432,3.09349e-07,0.0029022,4.08495
0,QETAMACR,0,7023.36,0,0.0880815,2,79737,98,1013,107.598,52.5609,29.7392
0,QFFFFF80,0,10696.4,0,0.0121021,2,883844,74,1005,465543,4.55484e+06,33.9755
0,QFORPLAN,0,8.23296e+08,0,0.124115,2,6.63334e+09,84,1005,503061,23678.5,15.9237
1,QGFRDXPN,0,5517.47,1,5.47419e-08,2,1.00791e+11,76,1010,291.99,139466,13.9694
0,QGROW15,0,9.71605e+07,0,21.4335,2,-4.53311e+06,85,1010,0.445472,1.2657e-07,15.5523
0,QGROW22,0,1.40263e+08,0,14.9754,2,-9.36622e+06,92,1004,0.44728,1.21462e-06,23.7533
0,QGROW7,0,4.05217e+07,0,17.7959,2,-2.27703e+06,88,1005,0.438829,7.36536e-08,7.80942
0,QISRAEL,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
1,QPCBLEND,1,8.92803e-09,1,1.13841e-06,0,-0.00784253,97,308,8.75625e-07,2.90158e-08,0.377769
0,QPCBOEI1,0,58071.2,0,0.00507356,1,1.14458e+07,100,978,1792.39,0.0125022,2.56565
0,QPCBOEI2,0,53785.5,0,0.00662532,1,8.11818e+06,100,945,28439.7,0.673572,1.33265
0,QPCSTAIR,0,2031.84,0,0.000327592,1,6.20236e+06,100,418,11282.4,3.87581e-05,2.22307
0,QPILOTNO,0,2660.85,0,0.0005624,2,4.73125e+06,70,1008,6.41403e+06,3.01953e+09,71.0527
1,QPTEST,1,1.86963e-06,1,4.2765e-07,0,4.37188,9,11,6.09405e-07,2.00409e-06,0.0044664
1,QRECIPE,1,1.56672e-06,1,5.87632e-09,0,-266.616,66,611,8.83559e-07,4.28187e-09,0.895497
1,QSC205,1,3.79683e-08,1,6.53051e-06,0,-0.00581399,53,112,6.87603e-07,2.10376e-06,0.302162
1,QSCAGR25,0,1558.72,1,7.72654e-06,2,2.01736e+08,83,1010,19.949,220.766,7.6921
1,QSCAGR7,0,1878.23,1,6.99159e-05,2,2.68641e+07,90,1005,21.4118,10.905,2.02167
0,QSCFXM1,0,3259.1,0,0.000193081,2,1.68794e+07,72,1002,35924,3.37334e+06,16.2929
0,QSCFXM2,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
0,QSCFXM3,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
1,QSCORPIO,1,1.2999e-06,1,6.91249e-10,1,1880.51,100,962,0.00416315,4.8837,7.55588
0,QSCRS8,0,1700.85,0,0.652815,2,2605.41,81,1003,12210.1,4.05699e+07,22.4935
1,QSCSD1,1,3.00906e-05,1,3.472e-06,0,8.66664,47,279,3.13734e-07,4.80992e-09,3.21988
0,QSCSD6,0,0.0138327,0,0.000272328,2,50.7944,97,1002,3.76638e-05,4.43336e-07,23.8169
1,QSCSD8,1,7.40274e-07,1,7.86886e-10,0,940.764,70,799,4.31503e-07,1.71006e-07,39.9799
1,QSCTAP1,0,0.000293532,1,2.07317e-07,0,1415.86,50,318,1.79787e-07,0.000750354,2.15573
1,QSCTAP2,1,1.80301e-05,1,1.03918e-08,0,1735.03,31,158,7.19721e-07,0.000275635,4.97793
1,QSCTAP3,1,1.89662e-05,1,1.31824e-08,0,1438.75,44,183,6.38829e-08,1.54679e-05,7.18285
0,QSEBA,0,1.30966e+07,0,0.191513,2,6.83852e+07,91,1013,11268.2,2138.38,107.914
0,QSHARE1B,0,10675.1,0,0.0146084,2,730753,80,1011,0.000238521,0.0144804,3.50941
0,QSHARE2B,0,9.82689,0,0.000840346,2,11693.9,82,1001,4781.07,1.67013e+08,2.19418
0,QSHIP04L,0,7.76746e+07,0,0.969786,2,8.00946e+07,84,1011,6.81118e+06,9.17328e+10,50.7421
1,QSHIP04S,0,0.227715,1,9.39034e-08,2,2.42499e+06,85,1010,0.0797966,5755.27,29.7105
0,QSIERRA,0,3.07786e+09,0,0.992343,2,3.10161e+09,78,1008,7.4158e+07,2.17519e+19,37.8542
0,QSTAIR,0,1673.68,0,0.000209635,2,7.98378e+06,88,1004,20674.4,2318.44,17.345
1,QSTANDAT,1,1.38645e-05,1,2.16232e-09,2,6411.84,99,1005,0.00336186,0.836617,16.1649
0,S268,0,0.0137929,0,1.00004,0,-0.0137924,5,28,6.42529e-07,7.85238e-07,0.0061299
0,STADAT1,0,5589.39,0,0.000195896,2,-2.85325e+07,67,1005,1.00031,227.91,21.3416
0,STADAT2,0,22.9862,0,2.38436,2,-9.64043,67,1005,0.0384613,65448.2,43.8878
0,STADAT3,0,17.4755,0,0.954739,2,-18.304,71,1013,0.0132181,83855,82.5388
1,TAME,1,2.49993e-11,0,1,0,2.49993e-11,5,9,9.52704e-07,1.52896e-06,0.0031976
0,UBH1,0,76.297,0,0.985584,2,77.413,96,1011,0.00303288,2.73416e-06,101.43
0,VALUES,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
0,YAO,0,192.486,0,36.8872,2,5.21823,87,1001,14.677,38.7199,14.1505
1,ZECEVIC2,1,1.10775e-06,1,2.68545e-07,0,-4.125,8,10,5.53875e-07,6.74589e-07,0.0028014
