agree,opt_status,diverged,name,abs_err,rel_err,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec

S,0,3,1,PILOT.JA,6113.14,1,0.00320406,20,721,11.9439,394468,38.077
S,0,1,1,PILOT.WE,468130,0.1721,-3.18823e+06,500,2539,5.85561,1.00962,51.3338
S,0,1,0,PILOT4,882.372,0.341854,-1698.77,500,5436,0.287786,0.00229543,43.8802
K,0,2,0,PILOT87,12.3727,0.0410083,314.083,173,6022,0.000270111,0.0190543,2789.85
S,0,2,0,PILOTNOV,3325.92,0.73954,-1171.36,204,6026,0.0922787,1.4381,139.644
S,1,0,0,RECIPE,2.80449e-05,1.05188e-07,-266.616,34,69,1.36421e-05,7.11403e-09,0.0438006
S,0,2,0,SC105,42.12,0.806864,-10.0821,172,6019,0.00414857,0.0752772,1.38063
K,0,2,0,SC205,51.6803,0.990006,-0.521727,180,6033,0.000858207,0.329159,6.39202
S,1,0,0,SC50A,2.45393e-07,3.80012e-09,-64.5751,69,1727,5.41708e-05,0.000174975,0.282697
K,1,0,0,SC50B,3.72357e-07,5.31938e-09,-70,74,1420,9.30639e-05,0.000193275,0.506489
K,1,0,0,SCAGR25,44.7674,3.03437e-06,-1.47534e+07,86,1749,9.03818e-05,2.72121e-05,5.84149
S,1,0,0,SCAGR7,0.104528,4.48351e-08,-2.33139e+06,73,769,2.91864e-06,1.5609e-05,0.438159
K,1,2,0,SCFXM1,8.34455,0.000453096,18425.1,325,6001,0.148617,6.35384e-05,25.5793
K,1,2,0,SCFXM2,129.395,0.00352956,36789.7,219,6006,0.000443105,0.000168906,51.2595
S,0,3,1,SCFXM3,23993.2,0.437025,78894.5,13,461,25.6984,12311.5,17.6309
S,0,2,0,SCORPION,25.8277,0.0137519,1852.3,183,6039,0.00889262,0.935747,15.9392
K,0,2,0,SCRS8,109.352,0.120925,794.948,181,6020,0.0168895,3.04821,41.3519
S,1,0,0,SCSD1,0.000424633,4.89961e-05,8.66624,40,78,2.70067e-05,1.93638e-07,0.426919
S,1,0,0,SCSD6,0.0328737,0.000650964,50.4671,74,159,9.48201e-05,6.01927e-06,1.40873
S,1,0,0,SCSD8,0.000144751,1.59946e-07,905,48,234,7.3499e-05,3.12785e-07,4.97658
S,0,3,1,SCTAP1,415.487,0.294202,996.763,9,104,1.1937,144.011,1.04892
K,1,0,0,SCTAP2,0.000431802,2.50348e-07,1724.81,30,502,9.43086e-06,1.10441e-05,7.12719
S,0,3,1,SCTAP3,8331.28,5.85062,-6907.28,6,145,135.457,8079.82,7.62685
S,1,0,0,SEBA,41.8462,0.0026634,15753.4,103,1625,7.14468e-05,1.79562e-05,54.7793
S,0,2,0,SHARE1B,12627,0.164867,-63962.3,349,6022,0.000166943,2.62514e-05,3.5919
S,1,2,0,SHARE2B,2.88806,0.00694691,-412.844,455,6025,0.00405037,0.00250147,3.39637
S,1,0,0,SHELL,15252.1,1.26172e-05,1.20884e+09,171,721,7.09606e-05,1.92815e-05,7.83432
S,1,2,0,SHIP04L,206.29,0.000115032,1.79312e+06,248,6011,0.00797516,0.00298903,41.4471
S,1,2,0,SHIP04S,13.1908,7.33347e-06,1.7987e+06,184,6019,0.00123941,0.296408,27.7177
S,1,2,0,SHIP08L,4690.8,0.00245713,1.90436e+06,179,6020,0.203379,25.8942,115.09
S,1,2,0,SHIP08S,6582.77,0.00342835,1.91352e+06,181,6005,0.212712,26.6759,67.0057
S,1,2,0,SHIP12L,13503,0.00918452,1.45668e+06,178,6013,0.170211,10.6728,145.952
S,1,2,0,SHIP12S,14181.8,0.00952288,1.47505e+06,180,6007,0.167745,3.20178,85.4858
S,0,3,1,SIERRA,8.18856e+07,5.31919,9.728e+07,6,135,2.01954e+06,9.27911e+10,3.57118
S,1,2,0,STAIR,9.2053e-05,3.66355e-07,-251.267,189,6006,0.00154929,0.00270521,19.453
S,1,0,0,STANDATA,0.0596685,4.74425e-05,1257.76,64,1125,5.72086e-05,8.25337e-05,10.1098
S,1,0,0,STANDMPS,0.00325073,2.31202e-06,1406.01,118,2817,3.95116e-05,0.178057,27.6092
S,1,0,0,STOCFOR1,1.47736,3.59176e-05,-41130.5,69,1351,9.48605e-05,0.00292276,0.723997
K,1,0,0,STOCFOR2,2.10056,5.38268e-05,-39022.3,125,3064,6.65957e-05,1.17499e-05,50.2316
S,0,0,0,TUFF,0.209277,0.716341,0.501425,58,668,9.92958e-05,1.39336e-06,3.6425
S,0,3,1,VTP.BASE,91512.6,0.704857,38318.9,35,783,36.0042,271.594,3.66032
S,1,0,0,WOOD1P,8.03943e-05,5.5717e-05,1.44282,52,786,6.31261e-05,0.000110613,20.2215
S,1,0,0,WOODW,0.000326202,0.000250064,1.3048,42,325,9.75011e-05,1.89353e-05,20.8192
