System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec
S,1,3,0,SCORPION,4.85377,0.00258437,1873.27,120,497,0.012283,0.220381,1.93426
K,1,0,0,SCRS8,0.25857,0.000285934,904.041,78,641,7.80017e-05,0.188715,8.08745
S,1,0,0,SCSD1,0.000793174,9.15201e-05,8.66746,30,64,4.81809e-05,1.65865e-05,0.366356
S,1,0,0,SCSD6,0.0312146,0.000618112,50.4688,95,288,9.09846e-05,5.42898e-07,2.38233
S,1,0,0,SCSD8,0.000948551,1.04812e-06,904.999,27,175,8.04747e-05,1.96629e-06,4.79915
S,0,3,0,SCTAP1,1051.53,0.744581,360.716,120,374,16.4928,4736.61,4.66139
K,1,0,0,SCTAP2,8.55012e-05,4.95715e-08,1724.81,40,110,3.72235e-05,0.000823259,2.7172
S,0,3,1,SCTAP3,1424,1,0,120,240,50,12941.1,9.4381
S,1,0,0,SEBA,0.390366,2.48457e-05,15712,30,225,2.73347e-05,0.00446491,17.5537
S,0,3,0,SHARE1B,6100.29,0.0796493,-70489,120,1051,0.000128782,0.000365284,1.61887
S,1,3,0,SHARE2B,0.00711256,1.71085e-05,-415.739,120,431,0.00910297,0.377861,0.528922
S,1,3,0,SHELL,152120,0.000125841,1.20898e+09,120,905,0.0131856,2.0763e-06,8.55813
S,1,3,0,SHIP04L,1533.94,0.000855359,1.79179e+06,120,650,0.0613372,1.58584,11.1207
S,1,3,0,SHIP04S,2364.56,0.00131458,1.79635e+06,120,701,0.0559961,0.238749,8.63538
S,0,3,0,SHIP08L,94464.4,0.0494823,2.00352e+06,120,849,22.953,81.1725,33.5075
S,0,3,0,SHIP08S,34776.1,0.0181116,1.88532e+06,120,795,1.87798,0.624197,21.3271
S,0,3,0,SHIP12L,36610,0.0249016,1.43358e+06,120,990,1.25366,0.90506,61.9018
S,0,3,0,SHIP12S,35512,0.0238458,1.45372e+06,120,927,1.20215,0.595176,32.2928
S,0,3,1,SIERRA,1.62606e+07,1.05627,-866272,120,983,206.303,7.95474e+09,42.8572
S,1,0,0,STAIR,1.114e-06,4.43352e-09,-251.267,54,346,3.35859e-05,0.00056206,5.71873
S,1,0,0,STANDATA,0.0242553,1.92854e-05,1257.68,28,90,4.30748e-05,0.052072,1.34722
S,1,0,0,STANDMPS,0.00141763,1.00826e-06,1406.02,64,194,2.28514e-05,0.031559,3.47277
S,1,0,0,STOCFOR1,0.0780758,1.89818e-06,-41131.9,41,100,7.05556e-05,0.107112,0.154812
K,1,0,0,STOCFOR2,0.00200002,5.12505e-08,-39024.4,66,876,7.64148e-05,0.0416546,26.9842
S,0,0,0,TUFF,0.206608,0.707205,0.498756,33,254,7.77578e-05,5.15664e-06,3.36236
S,0,3,1,VTP.BASE,105479,0.812429,24352.6,120,966,137.427,28959.4,5.86262
S,1,0,0,WOOD1P,1.47283e-06,1.02074e-06,1.4429,46,72,5.48086e-05,0.000378748,4.52928
S,1,0,0,WOODW,9.13333e-08,7.00153e-08,1.30448,50,318,1.10099e-05,2.51243e-05,55.9283
