name,ssn_solved,ssn_status,pmm_iter,ssn_iter,ssn_obj,pmm_tol_achieved,ssn_time,ssn_avg_ram_mb,qpalm_solved,qpalm_status,qpalm_iter,qpalm_inner_iter,qpalm_obj,qpalm_tol_achieved,qpalm_time,qpalm_avg_ram_mb,osqp_solved,osqp_status,osqp_iter,osqp_obj,osqp_tol_achieved,osqp_time,osqp_avg_ram_mb
AUG2D,1,0,8,14,1687411.3482983606,1.0336752761985672e-07,0.069500125,113.71875,1,1,8,16,1677451.6548751993,2.8454170770575438e-05,0.09090374799999999,151.2890625,1,1,50,1677511.1745486164,2.9319448313636087e-07,0.049877166,133.265625
AUG2DC,1,0,8,14,1818367.4828828045,1.366050574880262e-07,0.066288292,124.59375,1,1,8,16,1808267.7914470825,8.509711865167802e-07,0.08036204,150.859375,1,1,50,1808266.9324042788,5.313173903065405e-07,0.050024874,131.28125
AUG2DCQP,1,0,10,47,6498132.244677747,1.570384211441643e-07,0.591351334,132.640625,1,1,12,47,6487968.499224074,6.415143845561744e-05,0.263341916,154.228125,1,1,1700,6488037.006966587,1.8189096872234245e-05,1.227090416,128.953125
AUG2DQP,1,0,10,40,6237009.494879583,1.9512837541832396e-07,0.561138292,132.0,1,1,13,57,6227067.414828271,7.5845803274576795e-06,0.313623539,154.715625,1,1,1525,6227112.320279438,1.061233946307863e-06,1.110881166,126.390625
AUG3D,1,0,3,4,554.0677374178663,3.0025988780374707e-08,0.0054935,103.828125,1,1,5,10,-782.433172613789,9.466943013958229e-07,0.010967415000000001,108.46875,1,1,50,-782.432273614739,1.7737145086016426e-09,0.009238249,105.828125
AUG3DC,1,0,3,4,771.2624517124605,1.0422075427301124e-08,0.005531209,104.796875,1,1,8,16,-1165.2379103693238,5.990728066951334e-07,0.015226416,108.15625,1,1,50,-1165.2375610458416,1.5837138267471573e-09,0.009348166,103.984375
AUG3DCQP,1,0,22,462,993.3621466551722,2.4473069709917323e-09,0.138092709,106.8125,1,1,13,35,-943.1378599380864,5.664030136180054e-07,0.040968873,111.53125,1,1,100,-943.137988596528,1.9815509451071023e-06,0.017600916,105.78125
AUG3DQP,1,0,4,13,675.2376443001276,5.22926959440573e-07,0.019316792,106.171875,1,1,13,35,-661.2623526416307,2.7401470849125826e-06,0.044884665000000004,108.984375,1,1,100,-661.2623283874609,3.238372515936622e-07,0.017166124,106.390625
BOYD1,0,4,1,14,-59274652.64002496,0.35072001884133186,84.27633375,241.203125,1,1,57,156,-61735218.69934834,0.1806306120235271,3.16980379,393.3943326271187,0,8,15444,-61734989.46099979,55.93508653174679,60.007582375,259.3181415676417
BOYD2,0,4,13,266,43.60870266358843,0.0031095551715780803,131.00240829199998,418.25,0,-5,1327,3940,21.252302256477307,0.06685527840583448,60.001663916000005,477.1740983201581,0,8,17302,351112.75213752344,593.408659925461,60.008701791,302.27558225966305
CONT-050,1,0,38,773,-4.563850904324672,1.4079900677910187e-07,0.773783709,112.65625,1,1,4,11,-4.56385048122636,7.842794096102335e-08,0.026276498,111.234375,1,1,1775,-4.563851392513337,1.7054763307651508e-06,0.45710062500000004,106.65625
CONT-100,1,0,11,104,-4.644391701884713,7.627181252014114e-07,4.318612292,165.703125,1,1,6,33,-4.644415521097686,2.0250124919268808e-07,0.658778082,141.9474431818182,1,1,8625,-4.644399705259209,4.6931381986922944e-07,11.651247499,131.609375
CONT-101,1,0,90,3236,0.19552732467644984,4.5545687444416885e-07,23.879797458000002,167.078125,1,1,6,123,0.19529107611552288,3.0681724424076485e-06,3.149697332,142.41316105769232,1,1,10925,0.19552935040573538,6.893371354408539e-07,16.023090833,128.1875
CONT-200,1,0,13,116,-4.684871729929817,1.870074840538582e-07,37.134455541,190.359375,1,1,5,15,-4.685169773951925,3.576763681920993e-06,1.66484579,275.2585685483871,0,8,7062,-3.1735632431368725,0.01651612675454343,60.009745374000005,228.4201850366636
CONT-201,0,4,7,262,-0.09391752763515629,0.012947546121650678,65.888484375,308.96875,0,-5,5,248,-0.057489174379786116,0.06957369394622023,60.027172873999994,296.2076341324201,0,8,7119,1.8079179589763894,0.016523012963308395,60.003833041,216.2639032369146
CONT-300,0,4,3,107,-0.00038056662338349504,0.015372329449369714,62.747231416000005,332.078125,0,-5,2,44,-0.09973330847385739,0.03151347299805925,60.304772041,378.16127944062805,0,8,2524,7.065878246694453,0.3426532134144396,60.026317874,379.54268100403635
CVXQP1L,0,4,7,27,63215048.219428375,0.2645553829887875,68.56867195800001,285.0,0,-5,38,136,108653798.55678344,21344.410809853405,60.529605206,188.1027944417238,1,1,8400,108704777.01418243,0.007739011209907165,55.898581208,154.1353549299569
CVXQP1M,1,0,102,4357,1087506.8566948771,9.86329183599644e-07,3.6081570000000003,117.359375,1,1,24,80,1087510.493655371,4.380016277314255e-06,0.140429707,105.296875,1,1,625,1087511.554541954,0.0004862286546283133,0.092639916,102.484375
CVXQP1S,1,0,14,184,11590.7167706568,8.121513849390183e-08,0.016437083999999998,101.734375,1,1,13,37,11590.718060485195,1.6596443610794598e-06,0.001099956,101.375,1,1,425,11590.717496574516,0.0008509395608603309,0.001763457,99.203125
CVXQP2L,0,4,10,361,22891039.961558904,0.47164776746203496,61.668657417000006,205.40625,1,1,30,113,81842458.0463713,3.2332649758278393e-06,40.220124249,170.76886966126656,1,1,1650,81842458.26015085,6.960729992354149e-05,9.032277749,147.34132922535213
CVXQP2M,1,0,12,36,820155.4039644062,4.615139302611167e-07,0.243735584,111.390625,1,1,18,60,820155.4131144702,6.176776024359544e-06,0.086900374,103.859375,1,1,175,820155.4302829508,9.86869331481476e-05,0.023587623999999998,103.546875
