System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,pmm_iter,ssn_iter,krylov_iter,fact,smw_count,pmm_tol_achieved,ssn_tol_achieved,solving_time_sec,linesearch_fail,krylov_fail
S,1,0,0,AUG2D,0.553114,3.27788e-07,1.68741e+06,15,148,7,12,0,1.28264e-07,2.38153e-09,0.301193,0,0
S,1,0,0,AUG2DC,0.765392,4.20922e-07,1.81837e+06,15,130,8,12,0,1.71364e-07,2.24407e-09,0.239792,0,0
S,1,0,0,AUG2DCQP,10.1987,1.56948e-06,6.49812e+06,28,420,1042,54,0,6.38747e-07,5.63877e-09,1.40237,0,0
S,1,0,0,AUG2DQP,7.98439,1.28016e-06,6.237e+06,28,420,926,59,0,5.18993e-07,5.52776e-09,1.39699,0,0
S,1,0,0,AUG3D,3.60537e-07,6.50709e-10,554.068,6,10,0,7,0,1.33024e-07,5.21764e-07,0.0207057,0,0
S,1,0,0,AUG3DC,8.48554e-05,1.10021e-07,771.262,5,7,0,6,0,6.54606e-07,2.4674e-06,0.0162807,0,0
S,1,0,0,AUG3DCQP,0.00211767,2.13182e-06,993.36,7,25,201,20,0,9.45133e-07,5.9531e-07,0.0532356,0,0
S,1,0,0,AUG3DQP,0.000360188,5.33424e-07,675.237,7,20,163,20,0,2.37772e-07,4.90546e-12,0.056782,0,0
S,0,4,0,BOYD1,2.01441e+06,0.0326299,-5.97208e+07,23,383,864,383,0,0.0103918,485.474,1880.57,0,0
S,0,4,0,BOYD2,29.7361,1.3989,50.9928,246,4222,7803,1778,1635,0.000309644,0.0750068,1804.4,0,0
S,1,0,0,CONT-050,2.69879e-07,5.91341e-08,-4.56385,18,202,261,42,0,3.97689e-07,6.7485e-09,0.32359,0,0
S,1,0,0,CONT-100,2.29775e-05,4.94737e-06,-4.64437,20,272,369,77,0,9.24558e-07,8.60731e-08,3.28556,0,0
S,1,0,0,CONT-101,6.21474e-05,0.000317845,0.195589,86,1614,3827,218,0,9.89279e-07,2.42545e-08,13.049,0,0
S,1,0,0,CONT-200,0.000222222,4.74339e-05,-4.68465,38,603,482,63,0,7.51131e-07,2.40207e-07,24.3373,0,0
S,1,0,0,CONT-201,0.000677965,0.0035222,0.193161,87,1597,8917,479,0,9.75213e-07,1.73906e-07,160.383,0,0
S,1,0,0,CONT-300,0.00434764,0.0227016,0.19586,222,4287,13077,687,0,9.61582e-07,1.12851e-07,750.275,0,0
L,0,4,0,CVXQP1L,1.55868e+07,0.143387,9.3118e+07,330,6521,219510,551,0,0.0694689,0.0181176,1801.3,0,12
S,1,4,0,CVXQP1M,2488.83,0.00228855,1.08502e+06,70707,934040,7992170,48191,0,0.000545249,0.00110037,1800.04,665565188,0
S,1,0,0,CVXQP1S,0.0164409,1.41845e-06,11590.7,376,7161,10201,122,0,9.94982e-07,1.90384e-06,0.205348,0,0
L,0,4,0,CVXQP2L,2.0712e+06,0.0253071,7.97713e+07,600,11918,379374,605,0,0.0563148,0.0100608,1801.72,0,13
S,1,0,0,CVXQP2M,0.0550852,6.71643e-08,820155,9138,153883,1156097,8818,0,9.9991e-07,9.7215e-07,167.322,462541,0
S,1,0,0,CVXQP2S,0.00555713,6.84296e-07,8120.93,23,348,1461,30,0,5.85023e-07,3.00418e-06,0.035187,0,0
L,0,4,0,CVXQP3L,2.05819e+07,0.177873,9.51292e+07,213,4193,199994,455,0,0.082276,0.00526922,1803.78,0,13
S,0,4,0,CVXQP3M,214239,0.157202,1.14859e+06,55747,380801,5450436,53672,0,0.00652237,0.00649091,1977.02,1000126442,0
S,1,0,0,CVXQP3S,0.0120259,1.00691e-06,11943.4,4996,95241,151168,1996,0,9.99859e-07,4.16153e-06,2.6569,0,0
S,1,0,0,DPKLO1,8.24112e-08,2.22675e-07,0.370096,6,16,1,7,0,5.38979e-07,6.32859e-07,0.00404925,0,0
S,1,0,0,DTOC3,0.0276706,0.000117616,235.29,486,7716,15429,467,0,9.53506e-07,6.15411e-06,14.7999,0,0
S,1,0,0,DUAL1,6.64918e-09,1.89906e-07,0.035013,7,20,226,15,0,1.63613e-07,1.73282e-07,0.018451,0,0
S,1,0,0,DUAL2,6.5632e-10,1.94559e-08,0.0337337,7,66,329,10,0,1.92339e-08,4.12668e-09,0.0247644,0,0
S,1,0,0,DUAL3,1.1015e-07,8.11385e-07,0.135756,8,34,198,14,0,6.43007e-07,7.26591e-07,0.0236848,0,0
S,1,0,0,DUAL4,9.12856e-07,1.22352e-06,0.74609,9,61,431,14,0,4.9461e-07,5.0777e-07,0.0214394,0,0
S,0,0,0,DUALC1,192.728,0.0313111,5962.52,49,813,983,15,322,9.44594e-07,6.62361e-05,0.0338431,44,0
S,1,0,0,DUALC2,0.0212608,5.98676e-06,3551.33,10,66,202,3,63,4.10123e-08,9.78325e-07,0.00551096,0,0
S,1,0,0,DUALC5,0.00056891,1.33162e-06,427.232,12,209,1101,1,208,6.57449e-07,1.94103e-05,0.0165925,0,0
