name,ssn_solved,ssn_status,pmm_iter,ssn_iter,ssn_obj,pmm_tol_achieved,ssn_time,ssn_avg_ram_mb,qpalm_solved,qpalm_status,qpalm_iter,qpalm_inner_iter,qpalm_obj,qpalm_tol_achieved,qpalm_time,qpalm_avg_ram_mb,osqp_solved,osqp_status,osqp_iter,osqp_obj,osqp_tol_achieved,osqp_time,osqp_avg_ram_mb
AUG2D,1,0,14,15,1687410.0505582155,4.3149638572978213e-07,0.22181162499999998,103.5078125,1,1,8,16,1677451.6548751993,2.8454170770575438e-05,0.084077415,144.125,1,1,50,1677511.1745486164,2.9319448313636087e-07,0.050388957,129.875
AUG2DC,1,0,14,15,1818365.523731526,5.958998436916829e-07,0.098224542,127.84375,1,1,8,16,1808267.7914470825,8.509711865167802e-07,0.07943591500000001,152.875,1,1,50,1808266.9324042788,5.313173903065405e-07,0.049270375,129.1875
AUG2DCQP,1,0,19,89,6498122.750270841,7.553512365659554e-07,0.875548458,133.125,1,1,12,47,6487968.499224074,6.415143845561744e-05,0.260872956,153.5703125,1,1,1700,6488037.006966587,1.8189096872234245e-05,1.2190920410000001,125.671875
AUG2DQP,1,0,19,59,6237002.140009789,6.486119852873779e-07,0.815870833,137.13727678571428,1,1,13,57,6227067.414828271,7.5845803274576795e-06,0.31799729,150.909375,1,1,1525,6227112.320279438,1.061233946307863e-06,1.099127166,130.75
AUG3D,1,0,3,4,554.067614865518,1.0453598607776794e-07,0.005757125,105.125,1,1,5,10,-782.433172613789,9.466943013958229e-07,0.011407665,108.09375,1,1,50,-782.432273614739,1.7737145086016426e-09,0.009265791,103.78125
AUG3DC,1,0,3,4,771.2622060321751,1.7944184038605798e-07,0.005576042000000001,105.5,1,1,8,16,-1165.2379103693238,5.990728066951334e-07,0.015289539999999999,111.296875,1,1,50,-1165.2375610458416,1.5837138267471573e-09,0.009282458,105.1875
AUG3DCQP,1,0,22,49,993.3621438100381,1.796757770495842e-07,0.036256250000000004,105.90625,1,1,13,35,-943.1378599380864,5.664030136180054e-07,0.040896207,107.671875,1,1,100,-943.137988596528,1.9815509451071023e-06,0.016525708,105.859375
AUG3DQP,1,0,5,12,675.2375584246861,7.34121276598589e-08,0.019437708,104.578125,1,1,13,35,-661.2623526416307,2.7401470849125826e-06,0.050394206999999996,109.984375,1,1,100,-661.2623283874609,3.238372515936622e-07,0.016404832,103.625
BOYD1,0,4,1,17,-60663861.560143024,0.05411965940520413,104.34482579200001,359.9776446091291,1,1,57,156,-61735218.69934834,0.1806306120235271,3.160254749,391.3547149122807,0,8,15521,-61734992.47193007,55.56321129543767,60.005660666,279.97541171088744
BOYD2,0,4,2,47,43.52646940727177,0.006764690814038718,122.499861291,328.12369234427007,0,-5,1333,3952,21.257130761395977,0.07072060380136326,60.005689623,339.4718626725838,0,8,17305,351032.01987813757,593.3405377789999,60.007927541,182.5824018033597
CONT-050,1,0,80,2284,-4.5638509042020345,5.059107852616775e-07,1.3353647499999999,107.94105113636364,1,1,4,11,-4.56385048122636,7.842794096102335e-08,0.026154082000000002,109.859375,1,1,1775,-4.563851392513337,1.7054763307651508e-06,0.459714916,107.015625
CONT-100,1,0,57,1285,-4.64439786824274,2.810296906562334e-07,4.78312175,138.25703125,1,1,6,33,-4.644415521097686,2.0250124919268808e-07,0.658385249,142.6515625,1,1,8625,-4.644399705259209,4.6931381986922944e-07,11.877719458,83.269140625
