System,agree,opt_status,diverged,name,abs_err,rel_err,obj_val,PMM_iter,SSN_iter,Krylov_iter,fact,PMM_tol_achieved,SSN_tol_achieved,solving_time_sec,linesearch_fail
S,1,0,0,AUG2D,3.37935,2.00268e-06,1.68741e+06,57,83,1476,1,8.44612e-07,7.40104e-08,1.09764,0
S,1,0,0,AUG2DC,2.09192,1.15044e-06,1.81837e+06,36,37,485,1,4.82351e-07,3.94524e-09,0.370963,0
S,1,0,0,AUG2DCQP,14.9546,2.30137e-06,6.49812e+06,47,144,1831,60,9.38399e-07,7.15403e-06,1.68857,0
S,1,0,0,AUG2DQP,4.1298,6.62143e-07,6.23701e+06,48,109,1451,76,2.66082e-07,1.73246e-08,1.54807,0
S,1,0,0,AUG3D,0.000353242,6.37542e-07,554.067,6,7,30,1,3.84262e-07,1.82876e-07,0.00864554,0
S,1,0,0,AUG3DC,0.000217058,2.81432e-07,771.262,7,8,29,1,1.65677e-07,2.8975e-10,0.00796863,0
S,1,0,0,AUG3DCQP,0.00111406,1.1215e-06,993.361,14,41,340,18,4.9731e-07,5.84566e-08,0.0502248,0
S,1,0,0,AUG3DQP,0.000658908,9.75817e-07,675.237,13,31,251,31,4.32741e-07,1.56911e-12,0.062731,0
S,1,4,0,BOYD1,3498.46,5.66688e-05,-6.17317e+07,1627,12852,2294,1274,0.000126709,0.000169648,180.082,0
K,0,4,0,BOYD2,35.905,1.68911,57.1618,309,2402,0,995,1.73238e-05,0.000201564,180.01,0
S,1,0,0,CONT-050,1.22213e-06,2.67784e-07,-4.56385,49,164,727,22,8.44514e-07,8.57585e-07,0.365373,0
S,1,0,0,CONT-100,1.36112e-05,2.93067e-06,-4.64438,58,225,1266,24,7.27693e-07,3.52316e-07,3.22749,0
S,1,0,0,CONT-101,6.10412e-05,0.000312188,0.195588,85,401,4454,205,9.44566e-07,3.58589e-08,10.0575,0
S,1,0,0,CONT-200,0.000385662,8.23207e-05,-4.68449,72,270,1890,36,9.7306e-07,2.84206e-08,23.1924,0
S,1,0,0,CONT-201,0.00201547,0.0104709,0.194499,152,703,9491,496,9.16681e-07,6.87744e-08,136.696,0
S,0,4,0,CONT-300,0.194093,1.01348,-0.00258064,39,281,7076,281,0.000865661,8.95978e-05,183.435,0
S,0,4,0,CVXQP1L,1.08701e+08,0.999964,3939.02,1,3,1500,3,0.831548,0.0174227,217.174,0
S,0,4,0,CVXQP1M,12154.5,0.0111764,1.07536e+06,1549,13636,183480,153,0.00327428,0.014275,180.221,291
S,1,0,0,CVXQP1S,0.0154452,1.33255e-06,11590.7,105,481,6379,35,9.34951e-07,0.000202649,0.0934253,0
S,0,4,0,CVXQP2L,8.18038e+07,0.999528,38665.9,4,8,4000,8,0.880248,0.0126562,210.181,0
S,1,0,0,CVXQP2M,0.00101577,1.23851e-09,820155,198,1359,19842,75,9.98115e-07,0.00295191,10.5945,0
S,1,0,0,CVXQP2S,0.00684941,8.43426e-07,8120.93,40,161,3747,24,7.23672e-07,5.3404e-06,0.0293346,0
S,0,4,0,CVXQP3L,1.15705e+08,0.999948,5998.8,1,3,1500,3,0.84489,0.0123319,311.987,0
S,0,4,0,CVXQP3M,236196,0.173313,1.12663e+06,1043,9849,148547,221,0.0101034,0.0290424,180.315,374
S,1,0,0,CVXQP3S,0.0120287,1.00714e-06,11943.4,4102,32501,730836,41,9.99985e-07,1.08132e-05,12.5836,0
S,1,0,0,DPKLO1,1.17757e-06,3.1818e-06,0.370095,7,11,76,1,3.05846e-07,8.85249e-08,0.00148617,0
S,1,0,0,DTOC3,0.0214278,9.10804e-05,235.241,414,3250,111127,1,9.45839e-07,1.15568e-06,37.4054,0
S,1,0,0,DUAL1,1.35807e-07,3.87876e-06,0.0350128,12,33,430,8,9.47024e-07,1.41395e-07,0.00896921,0
S,1,0,0,DUAL2,2.12301e-08,6.29343e-07,0.0337337,12,33,235,4,4.93945e-07,6.76619e-08,0.00650504,0
S,1,0,0,DUAL3,1.30952e-07,9.64617e-07,0.135756,20,42,520,11,8.035e-07,1.89189e-08,0.0206044,0
S,1,0,0,DUAL4,1.275e-06,1.70891e-06,0.74609,24,70,841,6,9.3613e-07,5.66061e-08,0.0119156,0
K,0,0,0,DUALC1,132.011,0.021447,6023.24,53,258,0,79,6.46999e-07,1.53209e-05,0.00689883,0
K,1,0,0,DUALC2,0.000100194,2.82133e-08,3551.31,23,93,0,37,1.35101e-08,7.18981e-06,0.0025005,0
K,1,0,0,DUALC5,0.000679103,1.58954e-06,427.232,23,160,0,25,7.83935e-07,5.49722e-07,0.00455975,0
K,1,0,0,DUALC8,1.62109,8.85389e-05,18307.7,107,820,0,112,9.61872e-07,1.93915e-06,0.0393479,0
K,1,0,0,EXDATA,5.54596e-07,3.90991e-09,-141.843,44,259,0,241,6.82268e-07,1.05946e-07,113.372,0
S,1,0,0,GENHS28,6.68239e-08,7.20727e-08,0.927174,5,7,33,1,5.16782e-08,4.9575e-09,0.000125375,0
S,1,0,0,GOULDQP2,3.87529e-06,0.0210299,0.000188151,63,221,778,12,9.17735e-07,1.57924e-11,0.0471104,0
S,1,0,0,GOULDQP3,2.9242e-06,1.4176e-06,2.06279,14,37,367,12,4.82054e-07,9.32448e-08,0.0173396,0
K,1,0,0,HS118,4.51424e-06,6.79016e-09,664.82,19,76,0,39,5.64518e-08,9.97068e-07,0.000690833,0
S,1,0,0,HS21,1.15742e-09,1.15788e-11,-99.96,5,7,0,4,2.08922e-08,1.23138e-15,6.75e-05,0
S,1,0,0,HS268,9.55058e-07,1.66646,-3.81951e-07,19,84,13,3,9.93637e-07,5.46547e-06,0.000434083,0
S,1,0,0,HS35,5.65282e-07,5.08753e-06,0.111111,5,6,14,2,1.49937e-07,9.26187e-08,8.4291e-05,0
S,1,0,0,HS35MOD,1.25257e-06,5.01029e-06,0.249999,7,23,34,11,4.83344e-07,8.82615e-08,0.000237125,0
S,1,0,0,HS51,5.00305e-06,5.63294e+09,-5.00305e-06,6,8,24,1,6.86146e-07,8.43695e-10,7.6417e-05,0
S,1,0,0,HS52,9.74056e-06,1.82865e-06,5.32664,10,11,39,1,6.9334e-07,2.40072e-07,8.5875e-05,0
S,1,0,0,HS53,2.01649e-06,4.92664e-07,4.09302,9,10,34,1,2.01776e-07,7.02968e-08,7.6791e-05,0
S,1,0,0,HS76,1.41861e-07,3.03005e-08,-4.68182,7,26,67,5,7.66599e-08,4.08794e-08,0.0002115,0
S,1,4,0,HUES-MOD,226.127,6.49329e-06,3.48245e+07,35487,283697,149,138,1.73242e-05,5.03265e-05,180.003,10
S,1,0,0,HUESTIS,2.27515e+06,6.53315e-06,3.48245e+11,7,28,27,10,5.20424e-07,1.48635e-07,0.0368943,0
K,1,0,0,KSIP,1.29418e-06,2.24763e-06,0.575797,57,162,0,78,6.73769e-07,4.92057e-08,0.0367397,0
S,1,0,0,LASER,0.081389,3.3777e-08,2.4096e+06,17,45,55,31,3.16771e-07,3.29134e-09,0.0531836,0
S,0,0,0,LISWET1,11.1197,0.307834,25.0027,104,331,624,125,9.99155e-07,3.2714e-11,1.134,0
S,0,0,0,LISWET10,24.484,0.494768,25.0018,81,242,549,114,9.96063e-07,2.72618e-09,0.948463,0
S,0,0,0,LISWET11,24.5247,0.495209,24.9992,82,253,631,113,9.70333e-07,4.44818e-09,0.959429,0
S,0,0,0,LISWET12,1711.93,0.985608,24.9987,86,227,740,92,9.91798e-07,1.58629e-08,0.870803,0
S,1,0,0,LISWET2,0.000702666,2.81088e-05,24.9974,78,249,645,150,9.66898e-07,4.64532e-09,1.04846,0
S,1,0,0,LISWET3,0.00057329,2.29305e-05,25.0006,77,230,658,102,9.99649e-07,1.49533e-09,0.919469,0
S,1,0,0,LISWET4,0.000576983,2.30792e-05,24.9995,76,223,546,104,9.84881e-07,7.94418e-09,0.847926,0
S,1,0,0,LISWET5,0.000575256,2.29787e-05,25.0337,78,233,568,99,9.79867e-07,4.77739e-09,0.890889,0
S,1,0,0,LISWET6,0.000609717,2.43928e-05,24.9951,78,227,607,95,9.67043e-07,4.64377e-09,0.94549,0
S,0,0,0,LISWET7,473.839,0.949879,25.0022,76,231,622,105,9.90824e-07,4.80803e-09,0.917932,0
S,0,0,0,LISWET8,7119.7,0.996501,25.0021,77,230,549,106,9.87097e-07,4.54775e-09,0.922002,0
S,0,0,0,LISWET9,1938.25,0.987265,25.0017,83,244,636,113,9.73628e-07,1.54583e-09,1.27512,0
S,1,0,0,LOTSCHD,0.00352748,1.47075e-06,2398.41,14,76,308,6,5.37483e-07,2.17504e-07,0.00067025,0
S,1,0,0,MOSARQP1,6.18983e-06,6.49595e-09,-952.875,21,83,877,21,9.36557e-07,1.45457e-07,0.106686,0
S,1,0,0,MOSARQP2,0.000268783,1.68254e-07,-1597.48,15,45,413,18,7.90562e-07,7.54079e-08,0.0241202,0
S,0,0,0,POWELL20,7.8147e+09,0.150024,4.42749e+10,254,1972,2298,897,9.93978e-07,6.52172e-08,3.78316,0
S,1,0,0,PRIMAL1,5.25976e-10,1.50223e-08,-0.035013,5,10,10,8,1.9258e-08,1.28547e-09,0.00365404,0
S,1,0,0,PRIMAL2,7.10518e-10,2.10626e-08,-0.0337337,4,13,13,10,3.60179e-08,1.96959e-09,0.00877325,0
S,1,0,0,PRIMAL3,5.51647e-09,4.06352e-08,-0.135756,5,24,2,24,4.9336e-07,2.34144e-07,0.0283333,0
S,1,0,0,PRIMAL4,2.71624e-08,3.64063e-08,-0.746091,5,27,16,22,2.21934e-07,5.81822e-09,0.0184442,0
S,1,0,0,PRIMALC1,0.0025251,4.10236e-07,-6155.25,73,389,535,19,9.7572e-07,2.76228e-05,0.0120664,0
S,1,0,0,PRIMALC2,0.0156778,4.41467e-06,-3551.32,43,154,181,22,9.13248e-07,1.82606e-06,0.00464996,0
S,1,0,0,PRIMALC5,0.0135719,3.17671e-05,-427.219,65,436,2037,14,7.61751e-07,3.65013e-06,0.021644,0
S,1,0,0,PRIMALC8,0.000979801,5.35135e-08,-18309.4,140,920,3599,26,9.64888e-07,1.95832e-06,0.076228,0
S,1,0,0,Q25FV47,205.337,1.49396e-05,1.37442e+07,2623,21584,172054,3267,7.52258e-07,0.000130068,115.035,141
S,1,0,0,QADLITTL,5.89243,1.22677e-05,480313,50,285,2416,69,8.03944e-07,1.77928e-06,0.017876,0
S,1,0,0,QAFIRO,0.000223058,0.000140219,-1.59056,13,83,844,8,8.89142e-07,3.34996e-06,0.00173675,0
S,1,0,0,QBANDM,0.000240724,1.47211e-08,16352.3,84,573,2886,164,7.32208e-08,8.49225e-06,0.264963,0
S,1,0,0,QBEACONF,0.859497,5.21818e-06,164713,320,2361,3839,51,6.76554e-07,2.15759e-05,0.158858,0
S,1,0,0,QBORE3D,0.0143682,4.63459e-06,3100.22,936,7300,9435,188,9.74273e-08,1.32792e-05,0.39572,0
S,1,0,0,QBRANDY,0.0742164,2.61555e-06,28375.2,41,198,3399,175,9.46972e-07,7.07328e-07,0.156038,0
S,0,4,0,QCAPRI,1.21779e+06,0.0182322,6.55755e+07,35826,329437,2279258,208553,4.17968e-05,7.19919e-05,180.003,9016
S,1,0,0,QE226,0.000175616,8.25833e-07,212.654,48,248,3485,226,1.79155e-07,1.22058e-06,0.243173,0
S,1,4,0,QETAMACR,177.542,0.00204635,86582.8,24124,235571,1777881,42482,0.000299668,0.000193253,180.003,10868
S,1,0,0,QFFFFF80,12.5006,1.43168e-05,873160,869,7194,84879,2717,9.9509e-07,7.1598e-05,9.96568,58
S,0,-2,1,QFORPLAN,1e+20,1.34109e+10,1e+20,850,8186,64068,258,1e+20,1e+20,2.07811,298
S,1,0,0,QGFRDXPN,5152.15,5.11174e-08,1.00791e+11,9049,85464,164427,17827,9.9968e-07,1.68779e-05,25.5256,2867
S,1,0,0,QGROW15,1829.99,1.79951e-05,-1.01692e+08,216,1249,3764,808,4.69239e-07,3.91156e-05,1.14646,0
S,1,0,0,QGROW22,2620.8,1.75153e-05,-1.49626e+08,220,1353,6869,1069,6.69694e-07,5.80443e-05,2.31223,0
S,1,0,0,QGROW7,859.708,2.00872e-05,-4.27979e+07,201,1133,1733,232,4.89803e-07,4.08298e-05,0.196555,0
K,1,0,0,QISRAEL,0.273172,1.07769e-08,2.53478e+07,95,566,0,184,2.79621e-07,2.07036e-06,0.0404183,0
S,1,0,0,QPCBLEND,4.9495e-06,0.000631109,-0.00784749,48,132,1670,62,7.63773e-07,1.12834e-08,0.00889921,0
S,1,0,0,QPCBOEI1,168.086,1.46112e-05,1.15037e+07,42,194,2902,68,9.90332e-07,2.11294e-06,0.037868,0
K,1,0,0,QPCBOEI2,11.3555,1.38957e-06,8.17195e+06,13991,110613,0,14056,9.99272e-07,1.0053e-07,1.5822,0
S,1,0,0,QPCSTAIR,79.113,1.27511e-05,6.20431e+06,161,488,6104,248,9.00738e-07,5.43044e-07,0.237328,0
S,1,4,0,QPILOTNO,153.265,3.24125e-05,4.72843e+06,8701,69573,432524,32365,2.12907e-06,6.90975e-05,180.022,3
S,1,0,0,QPTEST,6.78719e-06,1.55247e-06,4.37188,8,9,16,2,5.95764e-07,3.32114e-07,9.6541e-05,0
S,1,0,0,QRECIPE,1.46678e-06,5.50146e-09,-266.616,26,67,363,23,5.14068e-07,7.37539e-07,0.00361921,0
K,1,0,0,QSC205,3.08948e-07,5.31391e-05,-0.00581426,29,100,0,91,8.73399e-07,1.19658e-07,0.0116136,0
S,1,0,0,QSCAGR25,369.367,1.83092e-06,2.01738e+08,52,359,3887,226,8.76223e-07,5.50446e-05,0.205441,0
S,1,0,0,QSCAGR7,88.7419,3.30313e-06,2.6866e+07,60,410,2414,109,9.65913e-07,4.37912e-06,0.0353672,0
S,1,0,0,QSCFXM1,1546.1,9.15793e-05,1.68811e+07,239,1963,15165,575,9.92327e-07,4.3361e-05,1.03239,32
S,1,0,0,QSCFXM2,2308.92,8.31259e-05,2.77739e+07,617,5447,44447,1400,9.98461e-07,2.38922e-05,5.0592,119
S,1,0,0,QSCFXM3,2579.49,8.37053e-05,3.08138e+07,930,8149,74541,1943,9.99905e-07,5.29584e-05,10.7101,171
K,1,0,0,QSCORPIO,0.000216042,1.14885e-07,1880.51,174,945,0,418,1.14239e-07,2.49806e-05,0.151885,0
S,1,0,0,QSCRS8,7.85834e-05,8.68748e-08,904.56,76,538,8831,450,8.05292e-08,0.000191146,0.594501,3
S,1,0,0,QSCSD1,0.000141833,1.63653e-05,8.66681,24,63,2644,59,8.16283e-07,2.4855e-08,0.0489233,0
S,1,0,0,QSCSD6,2.22259e-05,4.37446e-07,50.8082,66,307,6045,179,4.80669e-07,1.60028e-06,0.266385,0
S,1,0,0,QSCSD8,0.000129123,1.37253e-07,940.763,36,225,7666,202,6.81236e-07,1.66687e-07,0.963409,0
S,0,-2,1,QSCTAP1,1e+20,7.06284e+16,1e+20,32,151,4118,151,1e+20,1e+20,0.0966673,0
S,1,0,0,QSCTAP2,1.62201e-05,9.34862e-09,1735.03,22,72,2966,67,1.64434e-07,5.06268e-09,0.203154,0
S,1,0,0,QSCTAP3,0.000140953,9.7969e-08,1438.75,31,125,4751,80,6.15519e-07,5.8091e-08,0.40572,0
S,1,4,0,QSEBA,644043,0.00790413,8.08378e+07,10505,111677,1086083,774,0.000970068,0.00300237,180.011,4665
